DWP,CPCRW,SR
130.9962,255.1986,410.53488
131.07632,256.1598,411.89692
131.3968,256.4001,413.49932
131.3968,256.6404,414.94148
131.3968,257.0409,416.86436
131.63716,257.121,422.15228
131.7974,257.121,423.51432
132.11788,257.7618,427.19984
133.07932,258.3225,428.88236
133.07932,258.5628,429.60344
133.31968,259.2036,431.4462
133.47992,260.8857,440.09916
134.28112,261.7668,440.2594
134.68172,261.7668,447.14972
134.68172,262.2474,447.8708
134.84196,263.0484,449.79368
134.92208,264.4101,452.11716
135.16244,265.2111,452.2774
135.16244,265.6917,454.60088
135.24256,266.0121,454.92136
135.24256,267.534,455.96292
135.48292,268.0947,456.04304
136.28412,268.1748,458.92736
136.52448,270.0171,459.00748
136.52448,270.1773,460.12916
136.84496,270.6579,460.77012
137.16544,270.8181,464.13516
137.24556,270.8982,464.85624
137.56604,270.8982,465.01648
137.96664,271.8594,470.38452
138.04676,272.34,472.78812
138.6076,272.4201,473.98992
138.76784,274.5027,475.99292
138.84796,274.8231,478.3164
139.08832,274.9833,478.3164
139.24856,275.3037,478.47664
139.56904,275.9445,478.55676
140.21,277.146,480.88024
140.29012,277.146,481.36096
140.37024,277.3863,483.68444
141.17144,278.0271,484.00492
141.25156,278.9082,488.3314
141.33168,279.7893,489.61332
141.49192,280.2699,491.37596
141.65216,280.5903,494.01992
142.213,282.1122,494.10004
142.45336,282.9933,500.18916
142.53348,283.0734,504.59576
142.53348,285.0759,510.68488
142.6136,285.3162,512.3674
142.69372,285.3162,514.93124
142.77384,285.957,515.49208
142.85396,285.957,516.69388
142.85396,286.2774,518.61676
143.09432,286.2774,521.10048
143.57504,286.5177,522.94324
143.65516,287.0784,529.51308
144.216,287.0784,531.11548
144.216,287.2386,532.47752
144.29612,287.3988,536.16304
144.45636,287.7192,537.36484
145.0172,288.2799,539.92868
145.73828,288.8406,542.89312
145.89852,288.9207,544.65576
145.97864,289.0809,545.69732
146.05876,289.0809,546.33828
146.219,289.8018,547.54008
146.37924,290.0421,556.51352
146.53948,290.2824,563.72432
146.6196,290.3625,568.13092
146.6196,290.6028,570.53452
146.69972,290.6028,573.09836
146.69972,291.0033,573.33872
146.69972,291.0834,574.38028
147.10032,291.3237,579.98868
147.18044,291.564,581.6712
147.4208,292.0446,583.59408
147.50092,292.4451,586.71876
147.66116,293.4864,593.6892
147.66116,294.0471,595.6922
147.98164,295.1685,604.58552
148.06176,295.4889,608.5114
148.06176,296.1297,617.00412
148.14188,296.8506,619.7282
148.38224,297.5715,625.09624
148.70272,297.6516,625.89744
149.0232,298.5327,628.5414
149.18344,299.3337,630.1438
149.4238,299.6541,638.71664
149.58404,299.8143,641.28048
149.58404,300.0546,646.48828
150.06476,300.5352,649.29248
150.225,301.176,649.85332
150.70572,301.2561,650.1738
151.0262,302.5377,656.66352
151.10632,302.6979,657.06412
151.10632,303.4989,658.1858
151.34668,303.6591,658.5864
151.8274,305.2611,661.63096
152.14788,305.5014,672.52728
152.6286,305.6616,677.09412
152.78884,305.7417,678.2158
153.18944,306.2223,678.45616
153.26956,306.3024,683.66396
153.4298,306.6228,699.28736
153.59004,306.8631,702.09156
153.75028,307.0233,707.21924
153.99064,307.7442,710.6644
154.6316,308.1447,712.34692
154.71172,309.6666,718.99688
154.87196,310.0671,721.4806
155.27256,310.3875,733.73896
155.35268,310.4676,752.7274
155.35268,310.6278,758.65628
155.4328,310.9482,762.18156
155.4328,312.1497,768.03032
155.51292,312.8706,770.27368
155.51292,313.4313,778.3658
155.59304,314.2323,779.80796
155.8334,314.4726,787.09888
155.8334,315.0333,787.179
156.39424,315.9144,790.62416
156.55448,316.3149,794.22956
156.87496,316.3149,798.47592
156.87496,316.5552,801.11988
156.87496,317.1159,801.44036
157.11532,317.5965,803.203
157.27556,318.7179,810.4138
157.27556,319.1985,810.57404
157.35568,320.0796,810.57404
157.35568,320.0796,810.97464
157.4358,320.2398,812.65716
157.4358,320.5602,815.70172
157.59604,320.9607,833.80884
157.75628,320.9607,859.52736
158.15688,321.1209,861.12976
158.237,321.3612,868.02008
158.31712,321.4413,868.82128
158.39724,321.6816,879.23688
158.47736,322.2423,879.317
158.6376,324.0045,894.21932
159.11832,324.9657,894.21932
159.4388,325.1259,897.82472
159.59904,325.6866,900.38856
159.59904,325.8468,906.71804
159.67916,326.5677,907.11864
159.91952,326.808,915.13064
159.99964,328.2498,917.13364
160.07976,328.2498,930.27332
160.15988,328.8906,934.67992
160.24,329.2911,938.44556
160.24,329.6916,941.24976
160.72072,330.4125,942.2112
160.72072,330.8931,945.0154
160.88096,331.0533,951.18464
160.96108,331.9344,958.79604
160.96108,333.1359,962.48156
160.96108,333.216,972.49656
161.0412,334.017,987.15852
161.12132,334.4175,988.60068
161.52192,335.0583,994.12896
161.60204,335.1384,997.8946
162.00264,335.4588,1001.9006
162.08276,336.7404,1002.94216
162.08276,336.9807,1003.503
162.32312,337.3812,1003.58312
162.32312,337.4613,1004.38432
162.40324,338.1021,1006.62768
162.56348,338.1021,1028.17996
162.56348,338.3424,1033.06728
162.6436,338.5026,1040.59856
162.6436,338.9832,1067.03816
162.96408,339.3036,1089.39164
163.28456,340.3449,1097.644
164.246,340.7454,1100.0476
164.72672,341.4663,1107.41864
164.72672,342.6678,1127.44864
164.88696,342.828,1128.65044
164.88696,343.2285,1171.03392
165.28756,343.8693,1179.92724
165.28756,343.9494,1184.25372
165.36768,344.1096,1202.28072
165.68816,344.43,1233.848
165.76828,345.5514,1250.75332
165.8484,345.7116,1252.11536
165.92852,345.7116,1252.75632
166.08876,346.3524,1286.3266
166.16888,346.5927,1288.40972
166.249,346.7529,1290.7332
166.32912,346.9131,1305.956
166.32912,346.9131,1311.08368
166.40924,347.1534,1319.33604
166.48936,347.9544,1323.90288
166.6496,348.0345,1345.45516
166.80984,348.435,1347.37804
166.88996,349.3962,1376.061
167.13032,350.1171,1378.78508
167.37068,351.2385,1379.10556
167.37068,351.639,1399.61628
167.53092,352.1997,1423.7324
168.01164,352.5201,1430.142
168.01164,353.241,1450.25212
168.17188,353.8017,1456.42136
168.17188,354.042,1483.50192
168.252,354.1221,1524.6836
168.41224,354.5226,1525.8854
168.41224,354.6828,1526.12576
169.0532,355.8843,1542.39012
169.0532,356.0445,1563.62192
169.21344,356.0445,1570.352
169.21344,356.1246,1649.02984
169.53392,356.5251,1663.2912
169.61404,356.6853,1665.53456
169.69416,357.4062,1684.28264
170.01464,357.7266,1732.83536
170.41524,357.8868,1747.57744
170.57548,358.3674,1766.72612
170.81584,358.5276,1767.4472
170.81584,359.2485,1771.93392
170.89596,359.7291,1826.17516
170.89596,360.0495,1829.05948
170.97608,360.2097,1829.29984
170.97608,360.45,1836.02992
171.0562,360.7704,1855.01836
171.0562,360.8505,1861.42796
171.13632,361.3311,1863.83156
171.21644,362.2923,1874.32728
171.21644,362.853,1874.64776
171.29656,362.9331,1890.4314
171.4568,362.9331,1955.3286
171.53692,363.654,1955.64908
171.61704,363.7341,1980.24592
171.77728,364.0545,2003.24036
172.17788,364.6152,2007.56684
172.41824,365.1759,2010.77164
172.57848,365.256,2040.73652
172.6586,365.4162,2065.093
172.81884,365.5764,2067.33636
172.89896,367.0182,2096.50004
172.97908,367.659,2137.04076
173.21944,368.46,2158.75328
173.29956,370.6227,2240.79616
173.37968,371.7441,2410.65056
173.53992,371.9844,2421.54688
173.70016,372.0645,2426.51432
173.70016,372.3048,2432.28296
174.02064,372.465,2449.42864
174.02064,373.5864,2464.57132
174.02064,373.8267,2496.61932
174.34112,374.2272,2562.55808
174.42124,374.5476,2579.864
174.50136,374.9481,2677.85076
174.6616,374.9481,2683.6194
174.82184,375.5889,2710.4596
174.90196,376.9506,2767.50504
174.90196,377.9919,2839.77328
174.90196,378.1521,2896.17776
174.98208,378.3924,3407.98432
175.14232,378.4725,3447.5636
175.22244,379.2735,3456.13644
175.38268,379.674,3563.337
175.38268,380.3148,3654.11296
175.4628,380.9556,3689.20552
175.4628,382.4775,3753.54188
175.78328,382.878,4173.8514
176.02364,383.3586,4267.91228
176.02364,383.5188,4724.2758
176.10376,384.1596,4785.88808
176.18388,384.5601,4976.17308
176.18388,385.0407,5235.12092
176.264,385.7616,5444.63472
176.42424,386.6427,5778.17428
176.74472,386.7228,5988.97
176.74472,387.1233,6219.23488
176.74472,387.3636,6398.14284
177.0652,387.6039,9196.5742
177.0652,387.9243,10475.52976
177.22544,389.3661,10622.7102
177.22544,389.5263,13445.89864
177.30556,390.3273,23748.60956
177.38568,392.6502,95485.65396
177.54592,392.8104,105369.6578
177.62604,393.6915,216010.4904
177.78628,394.092,
177.8664,394.3323,
178.02664,394.5726,
178.50736,394.5726,
178.50736,395.0532,
178.6676,395.4537,
178.6676,395.9343,
178.74772,395.9343,
178.74772,396.4149,
178.82784,397.5363,
178.82784,399.0582,
178.90796,399.699,
178.90796,399.9393,
178.90796,400.2597,
179.14832,400.8204,
179.30856,402.4224,
179.30856,404.2647,
179.38868,404.8254,
179.4688,405.2259,
179.54892,405.3861,
179.54892,405.7866,
179.54892,406.2672,
179.62904,406.3473,
179.8694,407.709,
179.8694,408.5901,
180.10976,409.2309,
180.10976,409.311,
180.59048,409.5513,
180.6706,410.112,
180.6706,410.7528,
180.91096,412.2747,
180.91096,412.2747,
180.91096,413.6364,
180.99108,414.1971,
180.99108,414.2772,
181.0712,415.4787,
181.0712,415.719,
181.15132,416.3598,
181.15132,416.7603,
181.23144,418.6026,
181.23144,418.8429,
181.31156,419.2434,
181.4718,419.5638,
181.55192,419.8842,
181.55192,419.9643,
181.79228,420.3648,
181.95252,420.525,
182.11276,421.0857,
182.19288,421.6464,
182.19288,422.3673,
182.35312,422.5275,
182.43324,422.8479,
182.51336,422.928,
182.59348,423.0882,
182.59348,423.6489,
182.75372,423.8091,
182.75372,424.0494,
182.83384,424.53,
182.91396,424.6101,
182.99408,424.6902,
183.15432,424.7703,
183.23444,425.0106,
183.31456,425.8917,
183.55492,426.0519,
183.55492,427.734,
183.63504,428.4549,
183.63504,428.8554,
183.79528,429.0156,
183.8754,429.4962,
183.95552,429.4962,
184.19588,429.7365,
184.276,431.1783,
184.35612,431.4987,
184.43624,431.6589,
184.51636,431.6589,
184.51636,431.8191,
184.59648,432.54,
184.75672,433.2609,
184.83684,433.4211,
184.91696,433.5813,
184.99708,433.7415,
184.99708,434.142,
185.0772,434.3022,
185.0772,434.3823,
185.15732,434.4624,
185.15732,434.6226,
185.23744,436.3047,
185.31756,437.5863,
185.39768,438.0669,
185.55792,438.948,
185.55792,439.5087,
185.71816,439.6689,
185.71816,440.2296,
185.71816,440.4699,
185.95852,440.9505,
185.95852,441.1107,
186.03864,441.2709,
186.11876,441.9918,
186.279,442.2321,
186.35912,442.3122,
186.43924,442.7928,
186.43924,443.9142,
186.6796,444.7953,
186.75972,445.9167,
186.83984,445.9968,
186.83984,446.3172,
186.83984,446.4774,
186.91996,446.6376,
187.0802,447.5187,
187.16032,447.5187,
187.24044,448.4799,
187.32056,449.361,
187.32056,450.3222,
187.32056,450.4824,
187.40068,451.1232,
187.56092,451.6038,
187.56092,452.3247,
187.56092,452.3247,
187.64104,452.4849,
187.64104,452.565,
187.72116,452.9655,
187.72116,453.366,
187.72116,453.4461,
187.80128,454.0068,
187.80128,454.2471,
187.96152,454.4073,
188.04164,454.7277,
188.04164,455.2083,
188.04164,456.1695,
188.12176,457.1307,
188.12176,457.4511,
188.36212,458.4924,
188.36212,459.4536,
188.52236,461.376,
188.6826,461.376,
188.6826,461.6964,
188.6826,461.8566,
188.6826,462.7377,
188.76272,464.0193,
188.76272,464.4999,
188.92296,464.7402,
188.92296,465.0606,
189.0832,465.2208,
189.32356,465.7815,
189.32356,466.6626,
189.40368,466.6626,
189.40368,466.7427,
189.56392,466.983,
189.72416,466.983,
189.72416,467.3034,
189.80428,467.6238,
189.80428,468.3447,
189.8844,468.4248,
189.96452,468.7452,
189.96452,469.4661,
190.04464,469.4661,
190.04464,470.1069,
190.12476,470.6676,
190.20488,470.7477,
190.20488,471.3885,
190.285,471.4686,
190.285,472.3497,
190.44524,472.4298,
190.60548,473.0706,
190.60548,473.8716,
190.84584,474.5124,
190.84584,474.5925,
190.84584,474.5925,
190.92596,474.9129,
191.00608,475.4736,
191.0862,476.7552,
191.0862,476.7552,
191.16632,477.5562,
191.16632,477.6363,
191.24644,477.7164,
191.32656,480.0393,
191.4868,481.5612,
191.56692,481.8816,
191.64704,482.2821,
191.72716,482.9229,
191.80728,483.1632,
191.80728,484.7652,
191.80728,484.9254,
191.80728,485.4861,
191.96752,485.5662,
191.96752,487.809,
192.04764,488.2896,
192.04764,488.5299,
192.12776,490.6926,
192.12776,491.3334,
192.288,491.4936,
192.44824,492.0543,
192.52836,492.2145,
192.60848,492.7752,
192.6886,493.2558,
192.76872,494.217,
192.76872,494.5374,
192.76872,494.5374,
192.84884,494.6175,
192.84884,494.7777,
192.92896,494.9379,
193.00908,496.0593,
193.24944,496.0593,
193.4898,496.3797,
193.4898,496.7001,
193.56992,497.2608,
193.65004,498.5424,
193.81028,498.7026,
193.8904,499.7439,
193.8904,499.9041,
194.05064,500.3847,
194.291,500.3847,
194.53136,500.7051,
194.53136,500.7852,
194.85184,501.1056,
194.93196,501.3459,
194.93196,502.5474,
194.93196,502.9479,
195.01208,504.4698,
195.0922,505.431,
195.0922,506.4723,
195.17232,507.2733,
195.17232,507.4335,
195.17232,507.6738,
195.17232,509.2758,
195.25244,510.3972,
195.33256,510.7977,
195.41268,510.9579,
195.41268,511.1181,
195.41268,511.2783,
195.41268,511.9191,
195.57292,513.6813,
195.73316,514.3221,
195.73316,514.4823,
195.73316,514.5624,
195.81328,516.0843,
195.97352,517.2057,
195.97352,517.8465,
196.05364,518.4072,
196.21388,518.6475,
196.21388,519.4485,
196.294,520.5699,
196.37412,521.1306,
196.53436,521.3709,
196.61448,521.451,
196.61448,521.6913,
196.61448,522.3321,
197.0952,523.2933,
197.0952,524.1744,
197.41568,524.2545,
197.41568,524.7351,
197.4958,525.9366,
197.4958,526.4172,
197.57592,526.6575,
197.57592,527.5386,
197.73616,527.6187,
197.97652,528.4197,
197.97652,528.9804,
197.97652,528.9804,
198.05664,530.0217,
198.21688,530.1819,
198.21688,530.5824,
198.297,530.8227,
198.37712,531.5436,
198.37712,533.0655,
198.45724,534.1869,
198.53736,535.1481,
198.53736,536.0292,
198.61748,537.3108,
198.6976,537.3909,
198.93796,537.8715,
198.93796,538.5924,
199.01808,541.1556,
199.0982,542.9979,
199.0982,543.7188,
199.25844,544.1193,
199.25844,544.2795,
199.33856,544.5999,
199.41868,545.3208,
199.41868,545.8014,
199.57892,545.8815,
199.81928,546.282,
199.8994,546.4422,
200.05964,547.1631,
200.05964,547.2432,
200.05964,547.8039,
200.21988,548.2044,
200.3,548.3646,
200.3,548.7651,
200.38012,549.5661,
200.38012,549.8865,
200.38012,550.3671,
200.54036,550.4472,
200.54036,551.088,
200.54036,551.3283,
200.62048,551.5686,
200.62048,552.0492,
200.7006,552.5298,
200.7006,552.6099,
200.86084,554.5323,
200.86084,554.7726,
200.86084,555.6537,
200.94096,556.8552,
201.02108,557.3358,
201.02108,557.4159,
201.1012,557.8965,
201.1012,558.6975,
201.18132,558.8577,
201.18132,559.098,
201.18132,559.6587,
201.42168,560.1393,
201.42168,562.7025,
201.42168,562.7826,
201.58192,562.7826,
201.66204,563.9841,
201.66204,564.3846,
201.74216,566.2269,
201.74216,566.7876,
201.74216,568.3896,
201.74216,568.71,
201.82228,568.7901,
201.9024,569.1906,
201.9024,569.9115,
202.06264,570.6324,
202.14276,570.9528,
202.22288,572.0742,
202.303,572.2344,
202.303,572.4747,
202.46324,572.715,
202.46324,575.6787,
202.62348,576.0792,
202.78372,576.3195,
202.94396,577.0404,
203.02408,577.3608,
203.1042,578.2419,
203.18432,579.2031,
203.26444,579.2031,
203.42468,579.4434,
203.5048,579.6036,
203.58492,579.7638,
203.58492,580.0842,
203.66504,580.5648,
203.74516,580.5648,
203.82528,581.2056,
203.82528,581.2857,
203.98552,581.6862,
204.06564,582.4071,
204.14576,583.3683,
204.306,583.6887,
204.306,585.2907,
204.306,585.8514,
204.54636,587.133,
204.54636,587.3733,
204.62648,588.0141,
204.7066,588.2544,
204.7066,588.3345,
204.78672,588.6549,
204.78672,589.536,
204.86684,590.1768,
204.94696,591.5385,
204.94696,592.2594,
205.02708,592.9002,
205.02708,592.9803,
205.1072,593.2206,
205.18732,593.4609,
205.18732,594.9027,
205.18732,596.745,
205.18732,598.2669,
205.26744,599.7888,
205.26744,600.1092,
205.26744,601.2306,
205.26744,602.2719,
205.26744,602.9127,
205.5078,603.6336,
205.58792,605.4759,
205.74816,605.6361,
205.74816,606.4371,
205.74816,606.5973,
205.82828,607.2381,
205.82828,607.3983,
205.9084,607.6386,
205.9084,607.8789,
205.98852,610.5222,
206.06864,610.8426,
206.14876,611.8038,
206.14876,612.4446,
206.22888,612.9252,
206.22888,613.1655,
206.309,613.4058,
206.54936,613.4859,
206.62948,613.566,
206.62948,613.8864,
206.7096,615.6486,
206.7096,617.1705,
206.78972,617.2506,
206.78972,617.8113,
206.86984,618.4521,
206.94996,619.0929,
206.94996,619.4133,
207.03008,624.1392,
207.19032,624.8601,
207.27044,625.5009,
207.35056,625.581,
207.35056,628.3044,
207.43068,630.3069,
207.43068,630.7074,
207.43068,630.9477,
207.5108,632.3094,
207.5108,632.3094,
207.5108,632.3895,
207.59092,633.591,
207.59092,636.3945,
207.59092,636.5547,
207.67104,636.6348,
207.67104,636.795,
207.67104,637.9965,
207.67104,638.0766,
207.75116,638.4771,
208.07164,638.7975,
208.07164,640.8,
208.15176,641.0403,
208.23188,641.8413,
208.312,642.4821,
208.312,643.6035,
208.39212,644.004,
208.39212,644.9652,
208.47224,645.606,
208.7126,646.1667,
208.7126,647.6085,
208.79272,648.8901,
208.79272,649.0503,
208.87284,649.0503,
208.87284,649.8513,
208.87284,650.0115,
208.95296,650.1717,
208.95296,650.4921,
208.95296,650.6523,
208.95296,651.2931,
209.03308,651.3732,
209.1132,651.8538,
209.1132,652.4145,
209.19332,653.6961,
209.27344,653.8563,
209.35356,655.218,
209.59392,655.7787,
209.59392,656.5797,
209.59392,656.9802,
209.67404,658.8225,
209.67404,660.3444,
209.67404,660.9852,
209.75416,662.1867,
209.75416,662.427,
209.75416,664.029,
209.75416,664.3494,
209.83428,665.5509,
209.83428,666.0315,
209.9144,666.432,
209.99452,667.1529,
209.99452,667.233,
210.07464,670.5972,
210.07464,671.3181,
210.23488,672.84,
210.39512,674.2818,
210.39512,674.5221,
210.39512,674.6823,
210.47524,675.243,
210.55536,675.7236,
210.79572,675.8037,
210.79572,676.2843,
210.79572,678.5271,
210.87584,678.7674,
210.87584,680.5296,
210.95596,680.6097,
211.03608,681.4908,
211.1162,681.8913,
211.1162,682.1316,
211.35656,682.2918,
211.43668,683.0127,
211.43668,685.0953,
211.5168,685.4157,
211.5168,686.7774,
211.5168,687.3381,
211.59692,688.2192,
211.59692,688.2993,
211.59692,689.1003,
211.67704,689.5809,
211.67704,689.7411,
211.75716,689.7411,
211.75716,691.1028,
211.75716,691.4232,
211.83728,692.1441,
211.83728,693.0252,
211.83728,693.1854,
211.9174,693.8262,
211.9174,694.3068,
212.15776,695.1879,
212.23788,695.268,
212.39812,698.2317,
212.39812,698.7123,
212.39812,698.7924,
212.39812,699.3531,
212.47824,700.1541,
212.55836,700.2342,
212.63848,700.3944,
212.7186,700.9551,
212.7186,700.9551,
212.7186,701.1153,
212.79872,701.9964,
212.87884,702.6372,
213.1192,702.8775,
213.1192,703.0377,
213.19932,703.7586,
213.35956,703.9188,
213.43968,703.9188,
213.43968,704.9601,
213.43968,706.8024,
213.43968,707.3631,
213.5198,707.6835,
213.5198,708.6447,
213.5198,709.5258,
213.5198,709.8462,
213.59992,710.0064,
213.59992,710.0865,
213.68004,710.1666,
213.76016,710.8074,
213.84028,710.8875,
213.9204,711.2079,
213.9204,711.9288,
213.9204,713.2905,
214.00052,713.9313,
214.16076,715.4532,
214.24088,717.8562,
214.40112,717.8562,
214.48124,718.0164,
214.48124,720.6597,
214.56136,720.7398,
214.64148,720.7398,
214.64148,720.7398,
214.7216,721.3005,
214.7216,722.502,
214.80172,722.7423,
214.80172,724.0239,
215.04208,724.1841,
215.04208,724.2642,
215.04208,725.0652,
215.1222,725.2254,
215.1222,726.0264,
215.20232,727.0677,
215.20232,727.3881,
215.36256,728.5095,
215.44268,730.3518,
215.44268,731.7135,
215.5228,732.3543,
215.60292,733.3956,
215.68304,734.7573,
215.76316,736.0389,
215.84328,736.3593,
215.9234,739.8837,
216.00352,741.3255,
216.00352,741.3255,
216.00352,742.0464,
216.16376,742.2066,
216.24388,742.4469,
216.24388,743.2479,
216.24388,743.6484,
216.324,745.4907,
216.324,745.9713,
216.40412,750.4569,
216.48424,750.9375,
216.48424,751.338,
216.48424,755.5032,
216.64448,756.7047,
216.64448,757.2654,
216.64448,757.3455,
216.64448,757.5057,
216.7246,760.3092,
216.80472,760.5495,
216.96496,761.5908,
216.96496,762.7923,
217.04508,763.2729,
217.04508,765.2754,
217.04508,767.9988,
217.1252,769.5207,
217.1252,772.965,
217.20532,773.2854,
217.28544,774.0063,
217.28544,774.4068,
217.36556,774.8073,
217.36556,775.2879,
217.36556,775.6884,
217.44568,776.0889,
217.44568,776.169,
217.5258,776.2491,
217.60592,776.3292,
217.60592,777.6909,
217.60592,777.771,
217.60592,778.0914,
217.60592,778.7322,
217.68604,779.2929,
217.76616,780.2541,
217.84628,782.0964,
218.08664,783.6183,
218.08664,784.8999,
218.24688,785.1402,
218.48724,787.0626,
218.56736,787.5432,
218.56736,789.3855,
218.64748,791.388,
219.04808,791.7885,
219.1282,801.0801,
219.1282,801.801,
219.1282,803.0025,
219.20832,806.5269,
219.20832,808.0488,
219.44868,808.0488,
219.44868,808.6896,
219.60892,809.4906,
219.60892,810.4518,
219.68904,810.8523,
219.76916,811.9737,
219.9294,811.9737,
220.00952,812.1339,
220.00952,812.2941,
220.00952,812.3742,
220.00952,812.5344,
220.00952,816.1389,
220.08964,818.1414,
220.16976,819.6633,
220.24988,820.3842,
220.33,821.1051,
220.41012,823.2678,
220.41012,823.8285,
220.41012,825.2703,
220.49024,826.2315,
220.49024,828.5544,
220.57036,828.6345,
220.57036,828.6345,
220.57036,830.0763,
220.57036,830.5569,
220.65048,831.1176,
220.81072,831.2778,
220.81072,831.438,
220.81072,831.438,
220.89084,832.239,
220.89084,832.7997,
220.97096,833.3604,
220.97096,833.9211,
221.05108,834.0012,
221.05108,834.642,
221.05108,839.2878,
221.1312,840.8097,
221.21132,842.0913,
221.21132,842.1714,
221.21132,842.3316,
221.21132,842.7321,
221.37156,842.8122,
221.5318,842.9724,
221.5318,843.5331,
221.61192,843.7734,
221.69204,847.458,
221.77216,847.8585,
221.77216,848.4192,
221.77216,850.1814,
221.9324,850.4217,
