Site,TREATMENT_PHASE,SampleID,inctime_hours,cumCO2 flux (mgC/gSoil),cumCH4 flux (mgC/gSoil)
SR,FIELD_MOIST_INCUBATION,S13,599.74,3.7641625123006546,-1.4101329233791606e-7
SR,FIELD_MOIST_INCUBATION,S15,531.98,23.994015008712662,1.231641592207707e-5
SR,FIELD_MOIST_INCUBATION,S19,599.4,10.18732038215651,7.691846717075642e-8
SR,FIELD_MOIST_INCUBATION,S21,599.61,28.560504852318324,4.1492528959563124e-5
SR,FIELD_MOIST_SATURATION,S1,1.25,0.05170630583263397,3.5784594635603474e-7
SR,FIELD_MOIST_SATURATION,S13,1.25,0.004040386732484253,-9.763803001405704e-10
SR,FIELD_MOIST_SATURATION,S15,1.25,0.021144923966656418,2.9949962093902128e-9
SR,FIELD_MOIST_SATURATION,S19,1.25,0.016882382277190647,-6.501899351849696e-9
SR,FIELD_MOIST_SATURATION,S21,1.25,0.017560581618076148,6.178383029600854e-8
SR,IMMEDIATE_SATURATION,S11,6.4,0.06198381846349493,1.1899760400331266e-8
SR,IMMEDIATE_SATURATION,S16,6.4,0.06252344103423414,4.768224199307629e-9
SR,IMMEDIATE_SATURATION,S17,6.4,0.044565281379733764,5.332271861655955e-9
SR,IMMEDIATE_SATURATION,S23,6.4,0.01514598983249098,5.192853079503351e-9
SR,IMMEDIATE_SATURATION,S9,6.4,0.048565230282160754,1.1683566886353286e-9
SR,SATURATION_INCUBATION,S18,581.63,16.261945624911895,7.464693359198634e-6
SR,SATURATION_INCUBATION,S2,581.99,29.08801880131134,-1.2301655563795539e-6
SR,SATURATION_INCUBATION,S24,581.22,80.03021921657384,5.3861405016576414e-5
SR,SATURATION_INCUBATION,S3,581.19,34.379778466023964,1.7635664180514813e-4
SR,SATURATION_INCUBATION,S7,581.66,26.163035875454618,1.3026549182901539e-5
SR,SATURATION_SATURATION,S18,7.33,1.1278867848746514,-6.613733649976737e-8
SR,SATURATION_SATURATION,S2,7.32,0.9456638809027895,-2.302278975204266e-8
SR,SATURATION_SATURATION,S24,7.33,0.5800234936131098,-3.898981030377056e-8
SR,SATURATION_SATURATION,S3,7.33,0.03216522131087853,-6.1734789803129945e-9
SR,SATURATION_SATURATION,S7,7.33,0.020435769848821977,-6.508930434424582e-10
