,Site,Core,suction,vial_num,empty,full,notes
275,SR,18,50 kPa,1,29,35.44,
276,SR,19,1.5 kPa,1,28.56,48.12,
277,SR,19,1.5 kPa,2,0,0,
278,SR,19,15 kPa,1,28.73,30.21,
279,SR,19,15 kPa,2,0,0,
280,SR,19,50 kPa,1,29.57,35.83,
281,SR,21,1.5 kPa,1,28.45,46.94,
282,SR,21,1.5 kPa,2,29.02,52.76,
283,SR,21,15 kPa,1,29.87,33.64,
284,SR,21,15 kPa,2,0,0,
285,SR,21,50 kPa,1,29.06,36.24,
286,SR,23,1.5 kPa,1,29.17,48.66,
287,SR,23,1.5 kPa,2,0,0,
288,SR,23,15 kPa,1,28.8,31.05,
289,SR,23,15 kPa,2,0,0,
290,SR,23,50 kPa,1,30.13,no weight recorded,
291,SR,24,1.5 kPa,1,no vial,no vial ,
292,SR,24,1.5 kPa,2,29.41,58.94,no vial#1
293,SR,24,15 kPa,1,29.07,33.18,
294,SR,24,15 kPa,2,0,0,
295,SR,24,50 kPa,1,29.25,41.74,
296,SR,25,1.5 kPa,1,29.28,55.79,
297,SR,25,1.5 kPa,2,29.3,32.47,
297,SR,25,1.5 kPa,2,28.72,51.5,
298,SR,25,15 kPa,1,29.25,41.54,
299,SR,25,15 kPa,2,0,0,
300,SR,25,50 kPa,1,29.68,35.06,
