"","SampleID","Site","Treatment","TREATMENT_PHASE","inctime_hours","DryMass_SoilOnly_g","CO2_flux_mgC_hr","cumCO2_flux_mgC_gSoil","CO2_flux_mgC_gSoil_hr"
"67","C13","CPCRW","saturation","SATURATION_INCUBATION",72.29,138.96,18.9152982442814,9.67200838402211,0.136120453686538
"68","C11","CPCRW","saturation","SATURATION_INCUBATION",72.44,150.55,9.80374656133531,4.65021213582717,0.0651195387667573
"69","C20","CPCRW","field moist","FIELD_MOIST_INCUBATION",167.98,278.9,2.58005201735997,2.19972270990423,0.00925081397404078
"70","C16","CPCRW","field moist","FIELD_MOIST_INCUBATION",168.1,213.67,1.6258920498096,2.56507333028149,0.0076093604615042
"71","C17","CPCRW","field moist","FIELD_MOIST_INCUBATION",168.23,209.99,12.6461999016683,16.9790120434502,0.0602228672873389
"72","C18","CPCRW","field moist","FIELD_MOIST_INCUBATION",168.14,168.51,2.17259754768404,3.27307032160192,0.0128929888296484
"73","C19","CPCRW","field moist","FIELD_MOIST_INCUBATION",168.27,320.73,1.40600329519932,1.80896436025974,0.00438375984535067
"74","C12","CPCRW","saturation","SATURATION_INCUBATION",72.55,232.06,9.73780625625365,4.0646695638678,0.0419624504707991
"75","C15","CPCRW","saturation","SATURATION_INCUBATION",72.53,156.34,36.612009170138,23.1144682149409,0.234181969874236
"76","C14","CPCRW","saturation","SATURATION_INCUBATION",72.17,233.1,2.53466495871502,1.03589286593072,0.010873723546611
"77","C13","CPCRW","saturation","SATURATION_INCUBATION",72.91,138.96,9.80372739032752,9.71574982747349,0.0705507152441532
"78","C11","CPCRW","saturation","SATURATION_INCUBATION",73.06,150.55,5.13042424148644,4.67134041898706,0.0340778760643404
"79","C20","CPCRW","field moist","FIELD_MOIST_INCUBATION",168.6,278.9,2.55350609827631,2.20539920248555,0.00915563319568414
"80","C16","CPCRW","field moist","FIELD_MOIST_INCUBATION",168.72,213.67,2.03157833200479,2.57096830180694,0.00950801858943601
"81","C17","CPCRW","field moist","FIELD_MOIST_INCUBATION",168.85,209.99,10.5596652964777,17.0101896827845,0.0502865150553727
"82","C18","CPCRW","field moist","FIELD_MOIST_INCUBATION",168.77,168.51,2.34899427201829,3.28185239027068,0.0139397915377027
