site,treatment,core,aromatic,counts
DWP,drought,D22,aliphatic,2047
DWP,drought,D22,aromatic,1458
DWP,drought,D23,aliphatic,2013
DWP,drought,D23,aromatic,1419
DWP,drought,D24,aliphatic,2051
DWP,drought,D24,aromatic,1521
DWP,drought,D25,aliphatic,2292
DWP,drought,D25,aromatic,1630
DWP,field moist,D17,aliphatic,1543
DWP,field moist,D17,aromatic,1003
DWP,field moist,D18,aliphatic,1431
DWP,field moist,D18,aromatic,944
DWP,field moist,D19,aliphatic,1545
DWP,field moist,D19,aromatic,997
DWP,field moist,D20,aliphatic,1494
DWP,field moist,D20,aromatic,895
DWP,saturation,D11,aliphatic,1974
DWP,saturation,D11,aromatic,1585
DWP,saturation,D12,aliphatic,2151
DWP,saturation,D12,aromatic,1529
DWP,saturation,D13,aliphatic,1915
DWP,saturation,D13,aromatic,1479
DWP,saturation,D14,aliphatic,1979
DWP,saturation,D14,aromatic,1657
DWP,saturation,D15,aliphatic,2030
DWP,saturation,D15,aromatic,1721
DWP,time zero saturation,D10,aliphatic,2286
DWP,time zero saturation,D10,aromatic,1754
DWP,time zero saturation,D6,aliphatic,2207
DWP,time zero saturation,D6,aromatic,1604
DWP,time zero saturation,D7,aliphatic,2347
DWP,time zero saturation,D7,aromatic,1637
DWP,time zero saturation,D8,aliphatic,1920
DWP,time zero saturation,D8,aromatic,1382
DWP,time zero saturation,D9,aliphatic,2441
DWP,time zero saturation,D9,aromatic,1732
SR,baseline,S12,aliphatic,1307
SR,baseline,S12,aromatic,1293
SR,baseline,S20,aliphatic,1236
SR,baseline,S20,aromatic,1116
SR,baseline,S22,aliphatic,1371
SR,baseline,S22,aromatic,1303
SR,baseline,S6,aliphatic,1233
SR,baseline,S6,aromatic,1316
SR,baseline,S8,aliphatic,737
SR,baseline,S8,aromatic,892
SR,drought,S10,aliphatic,1954
SR,drought,S10,aromatic,1789
SR,drought,S14,aliphatic,2142
SR,drought,S14,aromatic,1682
SR,drought,S25,aliphatic,2196
SR,drought,S25,aromatic,1766
SR,drought,S4,aliphatic,2071
SR,drought,S4,aromatic,1634
SR,drought,S5,aliphatic,2057
SR,drought,S5,aromatic,1700
SR,field moist,S1,aliphatic,2693
SR,field moist,S1,aromatic,1296
SR,field moist,S13,aliphatic,1868
SR,field moist,S13,aromatic,1400
SR,field moist,S15,aliphatic,2750
SR,field moist,S15,aromatic,1285
SR,field moist,S19,aliphatic,2073
SR,field moist,S19,aromatic,1373
SR,field moist,S21,aliphatic,2563
SR,field moist,S21,aromatic,1412
SR,saturation,S18,aliphatic,2457
SR,saturation,S18,aromatic,1404
SR,saturation,S2,aliphatic,2246
SR,saturation,S2,aromatic,1502
SR,saturation,S24,aliphatic,2401
SR,saturation,S24,aromatic,1392
SR,saturation,S3,aliphatic,2610
SR,saturation,S3,aromatic,1340
SR,saturation,S7,aliphatic,2519
SR,saturation,S7,aromatic,1542
SR,time zero saturation,S11,aliphatic,1924
SR,time zero saturation,S11,aromatic,1531
SR,time zero saturation,S16,aliphatic,1960
SR,time zero saturation,S16,aromatic,1432
SR,time zero saturation,S17,aliphatic,1752
SR,time zero saturation,S17,aromatic,1408
SR,time zero saturation,S23,aliphatic,1924
SR,time zero saturation,S23,aromatic,1514
SR,time zero saturation,S9,aliphatic,1962
SR,time zero saturation,S9,aromatic,1622
