"Mass","C","H","O","N","S","P","Na","El_comp","Class","NeutralMass","AImod","NOSC","HC","OC"
202.1085205,9,17,4,1,0,0,0,"CHON","Protein",203.115797,-0.0833333333333333,-0.666666666666667,1.89,0.44
202.116595,9,18,4,0,0,0,0,"CHO","Protein",203.1238715,-0.142857142857143,-1.11111111111111,2,0.44
203.0350005,11,8,4,0,0,0,0,"CHO","ConHC",204.0422769,0.666666666666667,0,0.73,0.36
203.0561438,8,12,6,0,0,0,0,"CHO","Carb",204.0634202,0,0,1.5,0.75
203.067367,7,12,5,2,0,0,0,"CHON","Carb",204.0746435,-0.2,0.571428571428572,1.71,0.71
203.0713878,12,12,3,0,0,0,0,"CHO","Lignin",204.0786643,0.523809523809524,-0.5,1,0.25
203.0925181,9,16,5,0,0,0,0,"CHO","AminoSugar",204.0997946,-0.0769230769230769,-0.666666666666667,1.78,0.56
203.1037652,8,16,4,2,0,0,0,"CHON","Protein",204.1110417,-0.25,-0.25,2,0.5
203.107783,13,16,2,0,0,0,0,"CHO","Lignin",204.1150594,0.416666666666667,-0.923076923076923,1.23,0.15
203.1289088,10,20,4,0,0,0,0,"CHO","Protein",204.1361852,-0.125,-1.2,2,0.4
203.1441636,14,20,1,0,0,0,0,"CHO","UnsatHC",204.1514401,0.333333333333333,-1.28571428571429,1.43,0.07
204.1241635,9,19,4,1,0,0,0,"CHON","Protein",205.1314399,-0.25,-0.888888888888889,2.11,0.44
205.0142724,10,6,5,0,0,0,0,"CHO","ConHC",206.0215489,0.733333333333333,0.4,0.6,0.5
205.0354043,7,10,7,0,0,0,0,"CHO","Tannin",206.0426807,-0.142857142857143,0.571428571428572,1.43,1
205.0506543,11,10,4,0,0,0,0,"CHO","Lignin",206.0579308,0.555555555555556,-0.181818181818182,0.91,0.36
205.0717937,8,14,6,0,0,0,0,"CHO","Carb",206.0790702,-0.2,-0.25,1.75,0.75
205.0870357,12,14,3,0,0,0,0,"CHO","Lignin",206.0943122,0.428571428571429,-0.666666666666667,1.17,0.25
205.1081635,9,18,5,0,0,0,0,"CHO","AminoSugar",206.11544,-0.230769230769231,-0.888888888888889,2,0.56
205.1234302,13,18,2,0,0,0,0,"CHO","Lignin",206.1307067,0.333333333333333,-1.07692307692308,1.38,0.15
205.1598138,14,22,1,0,0,0,0,"CHO","Lipid",206.1670903,0.259259259259259,-1.42857142857143,1.57,0.07
206.0459123,10,9,4,1,0,0,0,"CHON","Lignin",207.0531888,0.642857142857143,0.2,0.9,0.4
206.0822928,11,13,3,1,0,0,0,"CHON","Lignin",207.0895692,0.470588235294118,-0.363636363636363,1.18,0.27
206.0903988,11,14,3,0,0,0,0,"CHO","Lignin",207.0976753,0.368421052631579,-0.727272727272728,1.27,0.27
206.1267831,12,18,2,0,0,0,0,"CHO","Lignin",207.1340595,0.272727272727273,-1.16666666666667,1.5,0.17
206.1631581,13,22,1,0,0,0,0,"CHO","Lipid",207.1704346,0.2,-1.53846153846154,1.69,0.08
206.9935448,9,4,6,0,0,0,0,"CHO","ConHC",208.0008213,0.833333333333333,0.888888888888889,0.44,0.67
207.0121627,10,8,3,0,1,0,0,"CHOS","Lignin",208.0194392,0.6,0,0.8,0.3
207.0299118,10,8,5,0,0,0,0,"CHO","Lignin",208.0371883,0.6,0.2,0.8,0.5
207.0510523,7,12,7,0,0,0,0,"CHO","Carb",208.0583287,-0.428571428571429,0.285714285714286,1.71,1
207.0663043,11,12,4,0,0,0,0,"CHO","Lignin",208.0735808,0.444444444444444,-0.363636363636363,1.09,0.36
207.0696933,8,16,4,0,1,0,0,"CHOS","Protein",208.0769698,-0.4,-0.75,2,0.5
207.0874294,8,16,6,0,0,0,0,"CHO","Carb",208.0947059,-0.4,-0.5,2,0.75
207.1026919,12,16,3,0,0,0,0,"CHO","Lignin",208.1099683,0.333333333333333,-0.833333333333333,1.33,0.25
207.1390755,13,20,2,0,0,0,0,"CHO","Lipid",208.146352,0.25,-1.23076923076923,1.54,0.15
207.1503082,12,20,1,2,0,0,0,"CHON","Lipid",208.1575847,0.263157894736842,-1,1.67,0.08
207.1754601,14,24,1,0,0,0,0,"CHO","Lipid",208.1827365,0.185185185185185,-1.57142857142857,1.71,0.07
208.0155175,9,8,3,0,1,0,0,"CHOS","Lignin",209.022794,0.538461538461538,0,0.89,0.33
208.0649384,7,15,4,1,1,0,0,"CHONS","AminoSugar",209.0722149,-0.833333333333333,-0.285714285714286,2.14,0.57
208.0979437,11,15,3,1,0,0,0,"CHON","Lignin",209.1052202,0.352941176470588,-0.545454545454546,1.36,0.27
208.1424193,12,20,2,0,0,0,0,"CHO","Lipid",209.1496957,0.181818181818182,-1.33333333333333,1.67,0.17
208.153677,11,20,1,2,0,0,0,"CHON","Lipid",209.1609535,0.176470588235294,-1.09090909090909,1.82,0.09
209.0091771,9,6,6,0,0,0,0,"CHO","ConHC",210.0164535,0.666666666666667,0.666666666666667,0.67,0.67
209.0125524,6,10,6,0,1,0,0,"CHOS","Carb",210.0198289,-1,0.666666666666667,1.67,1
209.0278063,10,10,3,0,1,0,0,"CHOS","Lignin",210.0350828,0.466666666666667,-0.2,1,0.3
209.0455722,10,10,5,0,0,0,0,"CHO","Lignin",210.0528487,0.466666666666667,0,1,0.5
209.0666992,7,14,7,0,0,0,0,"CHO","Carb",210.0739757,-0.714285714285714,0,2,1
209.0675623,8,18,2,0,2,0,0,"CHOS","Lipid",210.0748388,-0.6,-1.25,2.25,0.25
209.0819552,11,14,4,0,0,0,0,"CHO","Lignin",210.0892316,0.333333333333333,-0.545454545454546,1.27,0.36
209.0853188,8,18,4,0,1,0,0,"CHOS","Protein",210.0925952,-0.6,-1,2.25,0.5
209.0948401,8,19,4,0,0,1,0,"CHOP","Other",210.1021166,-0.5,-1.375,2.38,0.5
209.1183371,12,18,3,0,0,0,0,"CHO","Lipid",210.1256136,0.238095238095238,-1,1.5,0.25
209.1547249,13,22,2,0,0,0,0,"CHO","Lipid",210.1620013,0.166666666666667,-1.38461538461539,1.69,0.15
209.9454157,4,6,3,1,2,1,0,"CHONSP","Carb",210.9526921,1,1.75,1.5,0.75
209.9532459,6,2,2,3,1,1,0,"CHONSP","ConHC",210.9605224,Inf,2.16666666666667,0.33,0.33
210.0077908,5,9,6,1,1,0,0,"CHONS","Other",211.0150673,-Inf,1.6,1.8,1.2
210.0594449,10,13,2,1,1,0,0,"CHONS","Lignin",211.0667213,0.357142857142857,-0.4,1.3,0.2
210.0700622,6,14,7,0,0,0,0,"CHO","Carb",211.0773387,-1.4,0,2.33,1.17
210.1580715,12,22,2,0,0,0,0,"CHO","Lipid",211.165348,0.0909090909090909,-1.5,1.83,0.17
210.9736052,7,5,2,2,1,1,0,"CHONSP","ConHC",211.9808816,1.75,1,0.71,0.29
211.0248334,9,8,6,0,0,0,0,"CHO","Tannin",212.0321098,0.5,0.444444444444445,0.89,0.67
211.0400967,13,8,3,0,0,0,0,"CHO","ConHC",212.0473732,0.739130434782609,-0.153846153846154,0.62,0.23
211.061218,10,12,5,0,0,0,0,"CHO","Lignin",212.0684945,0.333333333333333,-0.2,1.2,0.5
211.0764701,14,12,2,0,0,0,0,"CHO","Lignin",212.0837466,0.615384615384615,-0.571428571428571,0.86,0.14
211.0823629,7,16,7,0,0,0,0,"CHO","Other",212.0896394,-1,-0.285714285714286,2.29,1
211.0975987,11,16,4,0,0,0,0,"CHO","Lignin",212.1048752,0.222222222222222,-0.727272727272728,1.45,0.36
211.1339868,12,20,3,0,0,0,0,"CHO","Lipid",212.1412632,0.142857142857143,-1.16666666666667,1.67,0.25
211.1703777,13,24,2,0,0,0,0,"CHO","Lipid",212.1776542,0.0833333333333333,-1.53846153846154,1.85,0.15
211.2067904,14,28,1,0,0,0,0,"CHO","Lipid",212.2140669,0.037037037037037,-1.85714285714286,2,0.07
212.005685,5,11,4,1,2,0,0,"CHONS","Other",213.0129615,-Inf,0.8,2.2,0.8
212.0750953,10,15,2,1,1,0,0,"CHONS","Lipid",213.0823717,0.214285714285714,-0.6,1.5,0.2
212.1009536,10,16,4,0,0,0,0,"CHO","Lignin",213.1082301,0.125,-0.8,1.6,0.4
212.1373318,11,20,3,0,0,0,0,"CHO","Lipid",213.1446083,0.0526315789473684,-1.27272727272727,1.82,0.27
212.9992179,5,11,5,0,1,1,0,"CHOSP","Other",214.0064943,-6,0.2,2.2,1
213.0153308,7,6,6,2,0,0,0,"CHON","Tannin",214.0226072,1,1.71428571428571,0.86,0.86
213.0227149,9,10,4,0,1,0,0,"CHOS","Lignin",214.0299914,0.333333333333333,0,1.11,0.44
213.0404738,9,10,6,0,0,0,0,"CHO","Tannin",214.0477502,0.333333333333333,0.222222222222222,1.11,0.67
213.055733,13,10,3,0,0,0,0,"CHO","ConHC",214.0630095,0.652173913043478,-0.307692307692307,0.77,0.23
213.0768614,10,14,5,0,0,0,0,"CHO","Lignin",214.0841379,0.2,-0.4,1.4,0.5
213.0784371,9,15,2,1,1,0,0,"CHONS","Lipid",214.0857135,0.0833333333333333,-0.666666666666667,1.67,0.22
213.0921333,14,14,2,0,0,0,0,"CHO","Lignin",214.0994097,0.538461538461538,-0.714285714285714,1,0.14
213.1132532,11,18,4,0,0,0,0,"CHO","Protein",214.1205296,0.111111111111111,-0.909090909090909,1.64,0.36
213.1244889,10,18,3,2,0,0,0,"CHON","Protein",214.1317654,0.0769230769230769,-0.6,1.8,0.3
213.1496417,12,22,3,0,0,0,0,"CHO","Lipid",214.1569182,0.0476190476190476,-1.33333333333333,1.83,0.25
213.1860256,13,26,2,0,0,0,0,"CHO","Lipid",214.1933021,0,-1.69230769230769,2,0.15
213.9638326,7,5,3,1,2,0,0,"CHONS","ConHC",214.9711091,0.8,1.14285714285714,0.71,0.43
214.0486206,5,14,6,1,0,1,0,"CHONP","Other",215.0558971,-Inf,0.2,2.8,1.2
214.0590768,12,10,3,0,0,0,0,"CHO","ConHC",215.0663532,0.619047619047619,-0.333333333333333,0.83,0.25
214.1085023,10,17,4,1,0,0,0,"CHON","Protein",215.1157788,0.0714285714285714,-0.6,1.7,0.4
214.1448877,11,21,3,1,0,0,0,"CHON","Lipid",215.1521642,0,-1.09090909090909,1.91,0.27
214.152998,11,22,3,0,0,0,0,"CHO","Lipid",215.1602744,-0.0526315789473684,-1.45454545454545,2,0.27
214.1893891,12,26,2,0,0,0,0,"CHO","Lipid",215.1966656,-0.0909090909090909,-1.83333333333333,2.17,0.17
214.9671863,6,5,3,1,2,0,0,"CHONS","ConHC",215.9744628,0.666666666666667,1.33333333333333,0.83,0.5
215.0197378,8,8,7,0,0,0,0,"CHO","Tannin",216.0270143,0.333333333333333,0.75,1,0.88
215.0309593,7,8,6,2,0,0,0,"CHON","Tannin",216.0382358,0.5,1.42857142857143,1.14,0.86
215.0350005,12,8,4,0,0,0,0,"CHO","ConHC",216.0422769,0.7,0,0.67,0.33
215.0561271,9,12,6,0,0,0,0,"CHO","Tannin",216.0634036,0.166666666666667,0,1.33,0.67
215.0673642,8,12,5,2,0,0,0,"CHON","AminoSugar",216.0746406,0.142857142857143,0.5,1.5,0.62
215.0713839,13,12,3,0,0,0,0,"CHO","Lignin",216.0786603,0.565217391304348,-0.461538461538462,0.92,0.23
215.0925207,10,16,5,0,0,0,0,"CHO","Protein",216.0997971,0.0666666666666667,-0.6,1.6,0.5
215.103755,9,16,4,2,0,0,0,"CHON","Protein",216.1110314,0,-0.222222222222222,1.78,0.44
215.1077737,14,16,2,0,0,0,0,"CHO","Lignin",216.1150501,0.461538461538462,-0.857142857142857,1.14,0.14
215.1289066,11,20,4,0,0,0,0,"CHO","Protein",216.136183,0,-1.09090909090909,1.82,0.36
215.1401368,10,20,3,2,0,0,0,"CHON","Protein",216.1474132,-0.0769230769230769,-0.8,2,0.3
215.1482384,10,21,3,1,0,0,0,"CHON","Lipid",216.1555148,-0.133333333333333,-1.2,2.1,0.3
215.1652925,12,24,3,0,0,0,0,"CHO","Lipid",216.172569,-0.0476190476190476,-1.5,2,0.25
216.0513846,8,11,6,1,0,0,0,"CHON","Tannin",217.0586611,0.125,0.5,1.38,0.75
216.0877738,9,15,5,1,0,0,0,"CHON","AminoSugar",217.0950503,0,-0.222222222222222,1.67,0.56
216.124148,10,19,4,1,0,0,0,"CHON","Protein",217.1314245,-0.0714285714285714,-0.8,1.9,0.4
216.1322469,10,20,4,0,0,0,0,"CHO","Protein",217.1395234,-0.125,-1.2,2,0.4
216.1686267,11,24,3,0,0,0,0,"CHO","Lipid",217.1759032,-0.157894736842105,-1.63636363636364,2.18,0.27
217.0142604,11,6,5,0,0,0,0,"CHO","ConHC",218.0215369,0.764705882352941,0.363636363636364,0.55,0.45
217.0176169,8,10,5,0,1,0,0,"CHOS","Lignin",218.0248934,0.111111111111111,0.25,1.25,0.62
217.0295067,15,6,2,0,0,0,0,"CHO","ConHC",218.0367832,0.857142857142857,-0.133333333333334,0.4,0.13
217.0354021,8,10,7,0,0,0,0,"CHO","Tannin",218.0426786,0.111111111111111,0.5,1.25,0.88
217.0475286,8,14,1,2,2,0,0,"CHONS","Lipid",218.0548051,-0.142857142857143,-0.25,1.75,0.12
217.0506448,12,10,4,0,0,0,0,"CHO","Lignin",218.0579213,0.6,-0.166666666666667,0.83,0.33
217.0717851,9,14,6,0,0,0,0,"CHO","AminoSugar",218.0790616,0,-0.222222222222222,1.56,0.67
217.0830163,8,14,5,2,0,0,0,"CHON","AminoSugar",218.0902928,-0.142857142857143,0.25,1.75,0.62
217.0870317,13,14,3,0,0,0,0,"CHO","Lignin",218.0943082,0.478260869565217,-0.615384615384615,1.08,0.23
217.108162,10,18,5,0,0,0,0,"CHO","Protein",218.1154385,-0.0666666666666667,-0.8,1.8,0.5
217.1194028,9,18,4,2,0,0,0,"CHON","Protein",218.1266792,-0.2,-0.444444444444445,2,0.44
217.1234208,14,18,2,0,0,0,0,"CHO","Lignin",218.1306973,0.384615384615385,-1,1.29,0.14
217.1445475,11,22,4,0,0,0,0,"CHO","Protein",218.151824,-0.111111111111111,-1.27272727272727,2,0.36
217.1598326,15,22,1,0,0,0,0,"CHO","UnsatHC",218.1671091,0.310344827586207,-1.33333333333333,1.47,0.07
218.0508447,7,14,1,2,2,0,0,"CHONS","Lipid",219.0581211,-0.6,-0.285714285714286,2,0.14
218.0670286,8,13,6,1,0,0,0,"CHON","Carb",219.0743051,-0.125,0.25,1.62,0.75
218.1034131,9,17,5,1,0,0,0,"CHON","AminoSugar",219.1106895,-0.181818181818182,-0.444444444444445,1.89,0.56
218.1227608,8,18,4,2,0,0,0,"CHON","Protein",219.1300373,-0.5,-0.5,2.25,0.5
219.0299139,11,8,5,0,0,0,0,"CHO","ConHC",220.0371904,0.647058823529412,0.181818181818182,0.73,0.45
219.0510495,8,12,7,0,0,0,0,"CHO","Carb",220.058326,-0.111111111111111,0.25,1.5,0.88
219.0622796,7,12,6,2,0,0,0,"CHON","Carb",220.069556,-0.5,0.857142857142857,1.71,0.86
219.0662973,12,12,4,0,0,0,0,"CHO","Lignin",220.0735737,0.5,-0.333333333333333,1,0.33
219.0874364,9,16,6,0,0,0,0,"CHO","AminoSugar",220.0947129,-0.166666666666667,-0.444444444444445,1.78,0.67
219.0986607,8,16,5,2,0,0,0,"CHON","AminoSugar",220.1059371,-0.428571428571429,0,2,0.62
219.10268,13,16,3,0,0,0,0,"CHO","Lignin",220.1099565,0.391304347826087,-0.769230769230769,1.23,0.23
219.1238208,10,20,5,0,0,0,0,"CHO","Protein",220.1310972,-0.2,-1,2,0.5
219.1390658,14,20,2,0,0,0,0,"CHO","Lignin",220.1463423,0.307692307692308,-1.14285714285714,1.43,0.14
219.1754463,15,24,1,0,0,0,0,"CHO","Lipid",220.1827227,0.241379310344828,-1.46666666666667,1.6,0.07
220.0826867,8,15,6,1,0,0,0,"CHON","Carb",221.0899631,-0.375,0,1.88,0.75
220.1343049,13,19,2,1,0,0,0,"CHON","Lignin",221.1415814,0.318181818181818,-0.923076923076923,1.46,0.15
220.1424319,13,20,2,0,0,0,0,"CHO","Lignin",221.1497083,0.25,-1.23076923076923,1.54,0.15
220.1788085,14,24,1,0,0,0,0,"CHO","Lipid",221.186085,0.185185185185185,-1.57142857142857,1.71,0.07
221.0091797,10,6,6,0,0,0,0,"CHO","ConHC",222.0164562,0.714285714285714,0.6,0.6,0.6
221.0125421,7,10,6,0,1,0,0,"CHOS","Tannin",222.0198185,-0.333333333333333,0.571428571428572,1.43,0.86
221.0303193,7,10,8,0,0,0,0,"CHO","Other",222.0375957,-0.333333333333333,0.857142857142857,1.43,1.14
221.0455643,11,10,5,0,0,0,0,"CHO","Lignin",222.0528407,0.529411764705882,0,0.91,0.45
221.0666977,8,14,7,0,0,0,0,"CHO","Carb",222.0739741,-0.333333333333333,0,1.75,0.88
221.0819481,12,14,4,0,0,0,0,"CHO","Lignin",222.0892245,0.4,-0.5,1.17,0.33
221.0853159,9,18,4,0,1,0,0,"CHOS","Protein",222.0925924,-0.333333333333333,-0.888888888888889,2,0.44
221.0931892,11,14,3,2,0,0,0,"CHON","Lignin",222.1004657,0.466666666666667,-0.181818181818182,1.27,0.27
221.1030804,9,18,6,0,0,0,0,"CHO","AminoSugar",222.1103569,-0.333333333333333,-0.666666666666667,2,0.67
221.118332,13,18,3,0,0,0,0,"CHO","Lignin",222.1256084,0.304347826086957,-0.923076923076923,1.38,0.23
221.1217051,10,22,3,0,1,0,0,"CHOS","Protein",222.1289816,-0.333333333333333,-1.4,2.2,0.3
221.1312073,10,23,3,0,0,1,0,"CHOP","Other",222.1384838,-0.266666666666667,-1.7,2.3,0.3
221.1547158,14,22,2,0,0,0,0,"CHO","Lipid",222.1619922,0.230769230769231,-1.28571428571429,1.57,0.14
222.044185,7,13,5,1,1,0,0,"CHONS","Carb",223.0514614,-0.8,0.285714285714286,1.86,0.71
222.0700402,7,14,7,0,0,0,0,"CHO","Carb",223.0773167,-0.714285714285714,0,2,1
222.077209,11,13,4,1,0,0,0,"CHON","Lignin",223.0844854,0.4375,-0.181818181818182,1.18,0.36
222.0853088,11,14,4,0,0,0,0,"CHO","Lignin",223.0925852,0.333333333333333,-0.545454545454546,1.27,0.36
222.1217007,12,18,3,0,0,0,0,"CHO","Lignin",223.1289771,0.238095238095238,-1,1.5,0.25
222.1580774,13,22,2,0,0,0,0,"CHO","Lipid",223.1653539,0.166666666666667,-1.38461538461539,1.69,0.15
223.0248209,10,8,6,0,0,0,0,"CHO","Lignin",224.0320973,0.571428571428571,0.4,0.8,0.6
223.0459637,7,12,8,0,0,0,0,"CHO","Other",224.0532402,-0.666666666666667,0.571428571428572,1.71,1.14
223.061206,11,12,5,0,0,0,0,"CHO","Lignin",224.0684825,0.411764705882353,-0.181818181818182,1.09,0.45
223.064565,8,16,5,0,1,0,0,"CHOS","AminoSugar",224.0718415,-0.555555555555556,-0.5,2,0.62
223.0764777,15,12,2,0,0,0,0,"CHO","Lignin",224.0837542,0.642857142857143,-0.533333333333333,0.8,0.13
223.0823427,8,16,7,0,0,0,0,"CHO","Carb",224.0896192,-0.555555555555556,-0.25,2,0.88
223.0975907,12,16,4,0,0,0,0,"CHO","Lignin",224.1048672,0.3,-0.666666666666667,1.33,0.33
223.1339774,13,20,3,0,0,0,0,"CHO","Lipid",224.1412538,0.217391304347826,-1.07692307692308,1.54,0.23
223.1703576,14,24,2,0,0,0,0,"CHO","Lipid",224.1776341,0.153846153846154,-1.42857142857143,1.71,0.14
223.1816033,13,24,1,2,0,0,0,"CHON","Lipid",224.1888798,0.142857142857143,-1.23076923076923,1.85,0.08
224.0493229,6,12,8,0,0,0,0,"CHO","Other",225.0565993,-1.5,0.666666666666667,2,1.33
224.0564356,10,11,5,1,0,0,0,"CHON","Lignin",225.0637121,0.461538461538462,0.2,1.1,0.5
224.0928489,11,15,4,1,0,0,0,"CHON","Lignin",225.1001253,0.3125,-0.363636363636363,1.36,0.36
224.1009263,11,16,4,0,0,0,0,"CHO","Lignin",225.1082028,0.222222222222222,-0.727272727272728,1.45,0.36
224.1373315,12,20,3,0,0,0,0,"CHO","Lipid",225.144608,0.142857142857143,-1.16666666666667,1.67,0.25
224.1656031,13,23,2,1,0,0,0,"CHON","Lipid",225.1728795,0.136363636363636,-1.23076923076923,1.77,0.15
224.1849567,12,24,1,2,0,0,0,"CHON","Lipid",225.1922331,0.0526315789473684,-1.33333333333333,2,0.08
225.0040831,9,6,7,0,0,0,0,"CHO","ConHC",226.0113595,0.636363636363636,0.888888888888889,0.67,0.78
225.0074837,6,10,7,0,1,0,0,"CHOS","Other",226.0147602,-1.66666666666667,1,1.67,1.17
225.0222725,12,7,1,2,0,1,0,"CHONP","ConHC",226.029549,1.05882352941176,0.0833333333333335,0.58,0.08
225.0404753,10,10,6,0,0,0,0,"CHO","Lignin",226.0477517,0.428571428571429,0.2,1,0.6
225.0557209,14,10,3,0,0,0,0,"CHO","ConHC",226.0629974,0.68,-0.285714285714286,0.71,0.21
225.0616066,7,14,8,0,0,0,0,"CHO","Other",226.068883,-1,0.285714285714286,2,1.14
225.0624721,8,18,3,0,2,0,0,"CHOS","Protein",226.0697485,-0.777777777777778,-1,2.25,0.38
225.0768606,11,14,5,0,0,0,0,"CHO","Lignin",226.084137,0.294117647058824,-0.363636363636363,1.27,0.45
225.080229,8,18,5,0,1,0,0,"CHOS","Other",226.0875055,-0.777777777777778,-0.75,2.25,0.62
225.0880927,10,14,4,2,0,0,0,"CHON","Lignin",226.0953692,0.333333333333333,0,1.4,0.4
225.1132462,12,18,4,0,0,0,0,"CHO","Protein",226.1205227,0.2,-0.833333333333333,1.5,0.33
225.1496315,13,22,3,0,0,0,0,"CHO","Lipid",226.156908,0.130434782608696,-1.23076923076923,1.69,0.23
225.1608605,12,22,2,2,0,0,0,"CHON","Lipid",226.168137,0.111111111111111,-1,1.83,0.17
225.1860155,14,26,2,0,0,0,0,"CHO","Lipid",226.1932919,0.0769230769230769,-1.57142857142857,1.86,0.14
225.2224231,15,30,1,0,0,0,0,"CHO","Lipid",226.2296996,0.0344827586206897,-1.86666666666667,2,0.07
226.0390946,6,13,6,1,1,0,0,"CHONS","Carb",227.0463711,-3.5,0.666666666666667,2.17,1
226.0721119,10,13,5,1,0,0,0,"CHON","Lignin",227.0793883,0.307692307692308,0,1.3,0.5
226.1165912,11,18,4,0,0,0,0,"CHO","Protein",227.1238676,0.111111111111111,-0.909090909090909,1.64,0.36
226.1448858,12,21,3,1,0,0,0,"CHON","Lipid",227.1521623,0.105263157894737,-1,1.75,0.25
226.1529836,12,22,3,0,0,0,0,"CHO","Lipid",227.1602601,0.0476190476190476,-1.33333333333333,1.83,0.25
226.164217,11,22,2,2,0,0,0,"CHON","Lipid",227.1714935,0,-1.09090909090909,2,0.18
226.1812613,13,25,2,1,0,0,0,"CHON","Lipid",227.1885378,0.0454545454545455,-1.38461538461539,1.92,0.15
226.1893811,13,26,2,0,0,0,0,"CHO","Lipid",227.1966576,0,-1.69230769230769,2,0.15
227.0197285,9,8,7,0,0,0,0,"CHO","Tannin",228.027005,0.454545454545455,0.666666666666667,0.89,0.78
227.0349963,13,8,4,0,0,0,0,"CHO","ConHC",228.0422727,0.727272727272727,0,0.62,0.31
227.0379332,12,9,1,2,0,1,0,"CHONP","ConHC",228.0452096,0.941176470588235,-0.083333333333333,0.75,0.08
227.0383672,10,12,4,0,1,0,0,"CHOS","Lignin",228.0456437,0.285714285714286,-0.2,1.2,0.4
227.0561182,10,12,6,0,0,0,0,"CHO","Lignin",228.0633947,0.285714285714286,0,1.2,0.6
227.0673623,9,12,5,2,0,0,0,"CHON","Lignin",228.0746387,0.333333333333333,0.444444444444445,1.33,0.56
227.0713801,14,12,3,0,0,0,0,"CHO","Lignin",228.0786565,0.6,-0.428571428571429,0.86,0.21
227.0925057,11,16,5,0,0,0,0,"CHO","Lignin",228.0997822,0.176470588235294,-0.545454545454546,1.45,0.45
227.1037441,10,16,4,2,0,0,0,"CHON","Protein",228.1110205,0.166666666666667,-0.2,1.6,0.4
227.1077641,15,16,2,0,0,0,0,"CHO","Lignin",228.1150406,0.5,-0.8,1.07,0.13
227.1288887,12,20,4,0,0,0,0,"CHO","Protein",228.1361652,0.1,-1,1.67,0.33
227.1401319,11,20,3,2,0,0,0,"CHON","Lipid",228.1474084,0.0666666666666667,-0.727272727272728,1.82,0.27
227.165278,13,24,3,0,0,0,0,"CHO","Lipid",228.1725545,0.0434782608695652,-1.38461538461539,1.85,0.23
227.2016638,14,28,2,0,0,0,0,"CHO","Lipid",228.2089403,0,-1.71428571428571,2,0.14
228.0547355,6,15,6,1,1,0,0,"CHONS","Other",229.0620119,-4.5,0.333333333333333,2.5,1
228.0700063,10,15,3,1,1,0,0,"CHONS","Protein",229.0772828,0.153846153846154,-0.4,1.5,0.3
228.0747394,13,12,3,0,0,0,0,"CHO","Lignin",229.0820159,0.565217391304348,-0.461538461538462,0.92,0.23
228.0958744,10,16,5,0,0,0,0,"CHO","Lignin",229.1031509,0.0666666666666667,-0.6,1.6,0.5
228.099006,9,15,4,3,0,0,0,"CHON","Protein",229.1062825,0.125,0.222222222222222,1.67,0.44
228.1111159,14,16,2,0,0,0,0,"CHO","Lignin",229.1183924,0.461538461538462,-0.857142857142857,1.14,0.14
228.1241263,11,19,4,1,0,0,0,"CHON","Protein",229.1314028,0.0625,-0.727272727272728,1.73,0.36
228.1322471,11,20,4,0,0,0,0,"CHO","Protein",229.1395235,0,-1.09090909090909,1.82,0.36
228.1605248,12,23,3,1,0,0,0,"CHON","Lipid",229.1678012,0,-1.16666666666667,1.92,0.25
