tension,site,unique,Class,peaks_count
1.5 kPa,CPCRW,saturation,Lignin,107
1.5 kPa,DWP,drought,Lignin,23
1.5 kPa,DWP,field_moist,Lignin,230
1.5 kPa,DWP,saturation,Lignin,2
1.5 kPa,SR,drought,Lignin,59
1.5 kPa,SR,field_moist,Lignin,96
1.5 kPa,SR,saturation,Lignin,19
50 kPa,CPCRW,drought,Lignin,328
50 kPa,CPCRW,field_moist,Lignin,12
50 kPa,CPCRW,saturation,Lignin,38
50 kPa,DWP,drought,Lignin,45
50 kPa,DWP,field_moist,Lignin,14
50 kPa,DWP,saturation,Lignin,67
50 kPa,SR,drought,Lignin,2
50 kPa,SR,field_moist,Lignin,26
50 kPa,SR,saturation,Lignin,91
1.5 kPa,CPCRW,drought,Lipid,8
1.5 kPa,CPCRW,field_moist,Lipid,5
1.5 kPa,CPCRW,saturation,Lipid,88
1.5 kPa,DWP,drought,Lipid,25
1.5 kPa,DWP,field_moist,Lipid,16
1.5 kPa,DWP,saturation,Lipid,4
1.5 kPa,SR,drought,Lipid,63
1.5 kPa,SR,field_moist,Lipid,22
1.5 kPa,SR,saturation,Lipid,9
50 kPa,CPCRW,drought,Lipid,26
50 kPa,CPCRW,field_moist,Lipid,1
50 kPa,CPCRW,saturation,Lipid,28
50 kPa,DWP,drought,Lipid,31
50 kPa,DWP,saturation,Lipid,12
50 kPa,SR,drought,Lipid,30
50 kPa,SR,field_moist,Lipid,18
50 kPa,SR,saturation,Lipid,70
1.5 kPa,CPCRW,drought,Other,19
1.5 kPa,DWP,drought,Other,6
1.5 kPa,DWP,field_moist,Other,4
1.5 kPa,SR,drought,Other,1
1.5 kPa,SR,field_moist,Other,4
50 kPa,CPCRW,drought,Other,10
50 kPa,DWP,drought,Other,5
50 kPa,SR,field_moist,Other,2
50 kPa,SR,saturation,Other,2
1.5 kPa,CPCRW,drought,Protein,86
1.5 kPa,CPCRW,field_moist,Protein,16
1.5 kPa,CPCRW,saturation,Protein,61
1.5 kPa,DWP,drought,Protein,49
1.5 kPa,DWP,field_moist,Protein,15
1.5 kPa,SR,drought,Protein,25
1.5 kPa,SR,field_moist,Protein,81
1.5 kPa,SR,saturation,Protein,9
50 kPa,CPCRW,drought,Protein,282
50 kPa,CPCRW,saturation,Protein,24
50 kPa,DWP,drought,Protein,93
50 kPa,DWP,field_moist,Protein,7
50 kPa,DWP,saturation,Protein,6
50 kPa,SR,drought,Protein,11
50 kPa,SR,field_moist,Protein,17
50 kPa,SR,saturation,Protein,175
1.5 kPa,CPCRW,drought,Tannin,15
1.5 kPa,CPCRW,field_moist,Tannin,6
1.5 kPa,DWP,drought,Tannin,1
1.5 kPa,DWP,field_moist,Tannin,34
1.5 kPa,SR,drought,Tannin,4
1.5 kPa,SR,field_moist,Tannin,5
1.5 kPa,SR,saturation,Tannin,1
50 kPa,CPCRW,drought,Tannin,104
50 kPa,CPCRW,saturation,Tannin,5
50 kPa,DWP,drought,Tannin,1
50 kPa,DWP,field_moist,Tannin,2
50 kPa,DWP,saturation,Tannin,32
50 kPa,SR,saturation,Tannin,3
1.5 kPa,CPCRW,field_moist,UnsatHC,7
1.5 kPa,CPCRW,saturation,UnsatHC,3
1.5 kPa,DWP,field_moist,UnsatHC,5
1.5 kPa,DWP,saturation,UnsatHC,3
1.5 kPa,SR,saturation,UnsatHC,6
50 kPa,CPCRW,field_moist,UnsatHC,2
50 kPa,DWP,saturation,UnsatHC,2
50 kPa,SR,field_moist,UnsatHC,3
50 kPa,SR,saturation,UnsatHC,2
1.5 kPa,CPCRW,drought,total,500
1.5 kPa,CPCRW,field_moist,total,143
1.5 kPa,CPCRW,saturation,total,268
1.5 kPa,DWP,drought,total,121
1.5 kPa,DWP,field_moist,total,343
1.5 kPa,DWP,saturation,total,36
1.5 kPa,SR,drought,total,160
1.5 kPa,SR,field_moist,total,248
1.5 kPa,SR,saturation,total,56
50 kPa,CPCRW,drought,total,1213
50 kPa,CPCRW,field_moist,total,20
50 kPa,CPCRW,saturation,total,101
50 kPa,DWP,drought,total,194
50 kPa,DWP,field_moist,total,30
50 kPa,DWP,saturation,total,179
50 kPa,SR,drought,total,45
50 kPa,SR,field_moist,total,87
50 kPa,SR,saturation,total,371
