site,treatment,core,AminoSugar,Carb,ConHC,Lignin,Lipid,Protein,Tannin,Unnamed,UnsatHC,total
CPCRW,field moist,C17,2.1951920084142316,14.42373385339587,8.026868049743632,40.320616332932566,14.95517233822272,11.125160577947158,5.057427959791191,2.9670362925338427,0.9287925870187823,100
CPCRW,field moist,C18,1.328350823924122,4.971390502185442,5.568336696288754,40.84211164123718,29.3778482725604,11.633552488122744,3.497799571155479,2.0206059473560116,0.760004057169872,100
CPCRW,field moist,C19,1.6252060365580958,14.969087732765562,8.29407754691446,33.80402484613499,20.306837071244928,12.340617738415315,3.522213509003631,3.7830111979610797,1.354924321001938,100
CPCRW,field moist,C20,4.025241480533922,9.941258112636962,7.824554857177631,49.329095636807686,9.114929874633482,11.452464802712125,4.682955701111846,2.4402583423344457,1.1892411920518946,100
CPCRW,saturation,C11,2.5994242074197453,9.327014646339356,7.692707762330122,36.69210945899492,23.228039055363716,12.68475728320199,5.087909386184691,1.7416550013679746,0.9463831987974749,100
CPCRW,saturation,C12,3.1758955972164404,7.531182045084212,5.920567319830828,39.498924889792725,23.991778992328655,12.887960209174492,4.928037474126902,1.2518320348365308,0.8138214376092165,100
CPCRW,saturation,C13,4.572738401916473,12.602403370232388,5.52288461515443,30.5890025801104,23.708736258149916,15.324574230137403,3.91428740411838,2.540017482504746,1.225355657675879,100
CPCRW,saturation,C14,3.5750709780684176,13.29617845386957,6.454796238881915,35.81396874520777,19.45821630774974,13.512998193262431,4.93834682653631,2.0769308455038407,0.8734934109200037,100
CPCRW,saturation,C15,2.944218700935981,11.163791202827554,4.455718527625925,34.76080585568026,21.43996550434536,19.038228782890073,3.997707073027025,1.4085052073585718,0.7910591453092496,100
CPCRW,time zero saturation,C10,2.074216761447781,9.812193311526132,4.180585101846091,34.67731174977291,32.8913448691053,10.376247086188698,3.934514918015205,1.3500664463706298,0.703519755727249,100
CPCRW,time zero saturation,C6,2.3200782205984214,16.66076206545142,4.788158863052137,26.69268893995689,28.72462741400956,15.200398245461663,2.3774993120846726,2.2656607534345783,0.9701261859506551,100
CPCRW,time zero saturation,C7,4.019612134826265,11.904517827165792,5.065221354775413,41.413643676991946,15.838575390276121,11.575815490914515,7.8629528142239975,1.6304838126070738,0.6891774982188789,100
CPCRW,time zero saturation,C8,3.1392142449731413,19.174781395507573,7.851848479251177,34.82150021756289,15.455781804046472,11.708654317822962,4.709750703597118,2.1688779029667904,0.9695909342718725,100
CPCRW,time zero saturation,C9,3.1637987795260596,10.104754893268874,5.418813356230917,27.10541957985083,28.682130677146507,19.292608527468214,3.3078607183715314,2.1295625629228043,0.7950509052142604,100
DWP,baseline,D1,6.175675080295128,19.445088633362392,6.6020662389492415,29.23597243133131,10.370158349411657,14.472110111102264,7.337881706044782,3.987202963007588,2.3738444864956505,100.00000000000001
DWP,baseline,D2,7.480210544626879,19.757311618189995,6.464634415191724,25.946574826949334,11.023125275979597,17.73006161860933,6.645262653672709,3.731269645455212,1.2215494013252253,100
DWP,baseline,D3,5.399223496838979,18.371578396456044,8.50903435177737,31.74912486138064,9.456060234825978,13.017140589772621,8.261420296307534,4.105028913068521,1.1313888595723107,100
DWP,baseline,D4,6.90372321985418,21.51223897391005,7.4890117530385725,27.339471953215842,10.85111041011818,13.167365275611083,7.468250719983648,3.8622775449208375,1.4065501493476018,100
DWP,drought,D21,1.9799565479920254,6.879216284818828,8.930490262538136,31.150678129882277,23.418626072578537,17.240868399018826,4.633784282270455,4.340228840577207,1.4261511803237032,100
DWP,drought,D22,1.6929103775488756,6.294894415419614,9.306484794561113,29.317168380128695,31.759917936269908,15.322854310395542,1.7201429587905386,2.7356745499082336,1.8499522769774774,100
DWP,drought,D23,2.4104176031331326,9.50346599193568,10.838129817827195,36.704878527457055,17.825991316262392,13.771236597165352,3.064413855391701,3.595944431997112,2.2855218588303874,100
DWP,drought,D24,1.3269443697329493,3.7403479840587837,9.754064355849586,36.21076729736678,27.067600679263524,15.072611662361535,3.238119485359449,2.620405589575951,0.969138576431442,100
DWP,drought,D25,1.6955387134158535,5.499972220444224,11.42833950720646,39.32618997899772,18.59504310034421,16.640627246368087,2.8784094081148943,2.7687378993284444,1.1671419257801066,100
DWP,field moist,D17,1.7739589601771166,8.650547402693492,10.736296971503567,34.45319998022556,18.641770111591956,15.447768697946783,4.621563623220091,4.243880215948582,1.4310140366928565,100
DWP,field moist,D18,2.188068929853958,10.157784952332342,8.313950789209148,25.364814063562015,29.142441075390302,17.774053556779325,1.5476320306902764,3.8188262835692712,1.692428318613367,100
DWP,field moist,D19,1.9003424354388394,8.181881059524535,10.716096684678504,33.94507175272406,21.9841796012704,16.84417470496547,1.8368331506914293,3.379193447155109,1.2122271635516557,100.00000000000001
