tension,site,group,treatment,N,relabund,sd,se,ci,relativeabundance,hsd
1.5 kPa,SR,AminoSugar,drought,5,0.6612218516089293,0.523689825528166,0.23420120980119677,0.6502468025839343,0.66 ± 0.23   a,a
1.5 kPa,SR,AminoSugar,field moist,5,1.6266198824286995,1.1080488618976214,0.4955345155188716,1.3758243800689312,1.63 ± 0.5   a,a
1.5 kPa,SR,AminoSugar,saturation,4,0.5939191418187345,0.2314938103587573,0.11574690517937865,0.36835831073613723,0.59 ± 0.12   a,a
1.5 kPa,SR,AminoSugar,time zero saturation,4,1.8372857259566457,0.5924113261884594,0.2962056630942297,0.942658618118342,1.84 ± 0.3   a,a
1.5 kPa,SR,Carb,drought,5,0.13006304838994542,0.05038771909982527,0.022534073027674763,0.06256461675785721,0.13 ± 0.02   b,b
1.5 kPa,SR,Carb,field moist,5,1.6079567519784352,1.3578736945558711,0.6072595771771427,1.6860228806379596,1.61 ± 0.61   a,a
1.5 kPa,SR,Carb,saturation,4,0.7900804995921845,0.5980779187964206,0.2990389593982103,0.951675431472719,0.79 ± 0.3   ab,ab
1.5 kPa,SR,Carb,time zero saturation,4,0.507944379351109,0.16302388571360882,0.08151194285680441,0.2594073813811339,0.51 ± 0.08   ab,ab
1.5 kPa,SR,ConHC,drought,5,1.5194961857947884,0.9979319918856973,0.4462887541556375,1.2390962269802412,1.52 ± 0.45   a,a
1.5 kPa,SR,ConHC,field moist,5,0.7140098910795846,0.7596430813662486,0.3397227137144671,0.9432214656170435,0.71 ± 0.34   a,a
1.5 kPa,SR,ConHC,saturation,4,0.5759919033606619,0.2375874158164378,0.1187937079082189,0.3780545968234632,0.58 ± 0.12   a,a
1.5 kPa,SR,ConHC,time zero saturation,4,1.2850361556356562,0.6264056671992501,0.31320283359962503,0.9967512005935146,1.29 ± 0.31   a,a
1.5 kPa,SR,Lignin,drought,5,30.20494801328172,4.718789373586053,2.110306762168413,5.8591508802882935,30.2 ± 2.11   a,a
1.5 kPa,SR,Lignin,field moist,5,28.935953748462662,22.814177075637506,10.202810158368564,28.327542323464723,28.94 ± 10.2   a,a
1.5 kPa,SR,Lignin,saturation,4,19.26175009602521,5.7991033988627425,2.8995516994313713,9.227667592834463,19.26 ± 2.9   a,a
1.5 kPa,SR,Lignin,time zero saturation,4,15.937304652615367,1.6734464601308723,0.8367232300654361,2.662826752066797,15.94 ± 0.84   a,a
1.5 kPa,SR,Lipid,drought,5,43.37361280140239,4.241658781305273,1.8969274744715008,5.266715001411611,43.37 ± 1.9   a,a
1.5 kPa,SR,Lipid,field moist,5,44.83516978548549,25.755925932141434,11.518400241543576,31.980205970342745,44.84 ± 11.52   a,a
1.5 kPa,SR,Lipid,saturation,4,65.04758402300186,7.153750516556921,3.5768752582784606,11.383213450168995,65.05 ± 3.58   a,a
1.5 kPa,SR,Lipid,time zero saturation,4,43.82270063881125,12.565602409674591,6.282801204837296,19.99467748116648,43.82 ± 6.28   a,a
1.5 kPa,SR,Other,drought,5,0.2605151173884963,0.23050995664447918,0.10308718650951695,0.28621591439296035,0.26 ± 0.1   a,a
1.5 kPa,SR,Other,field moist,5,0.10686526577969263,0.03534316865099197,0.015805945528771514,0.04388434009638062,0.11 ± 0.02   a,a
1.5 kPa,SR,Other,saturation,4,0,0,0,0,0 ± 0   a,a
1.5 kPa,SR,Other,time zero saturation,4,0.35014166904093535,0.29025255599541255,0.14512627799770628,0.4618565872133766,0.35 ± 0.15   a,a
1.5 kPa,SR,Protein,drought,5,18.58032415334492,3.337807227950925,1.492712771497681,4.144435067890968,18.58 ± 1.49   ab,ab
1.5 kPa,SR,Protein,field moist,5,20.197056439748298,10.790503475235896,4.825659856415037,13.398179687693014,20.2 ± 4.83   ab,ab
1.5 kPa,SR,Protein,saturation,4,9.493061464368502,1.8310997074791295,0.9155498537395648,2.913688249336517,9.49 ± 0.92   b,b
1.5 kPa,SR,Protein,time zero saturation,4,33.14933243061433,10.926834528556071,5.463417264278036,17.387032086924858,33.15 ± 5.46   a,a
1.5 kPa,SR,Tannin,drought,5,0.21955288104647666,0.22668111079264144,0.10137487458950149,0.2814617743440616,0.22 ± 0.1   a,a
1.5 kPa,SR,Tannin,field moist,5,0.4204665472483623,0.23585371151390555,0.10547698633814352,0.2928510624295531,0.42 ± 0.11   a,a
1.5 kPa,SR,Tannin,saturation,4,0.1814093945418388,0.11014298424985094,0.05507149212492547,0.17526206663942986,0.18 ± 0.06   a,a
1.5 kPa,SR,Tannin,time zero saturation,4,0.21228806211134896,0.10067852825302319,0.050339264126511594,0.1602020051301175,0.21 ± 0.05   a,a
1.5 kPa,SR,UnsatHC,drought,5,5.050265947742332,3.716477392076282,1.6620592171047408,4.614616177879334,5.05 ± 1.66   a,a
1.5 kPa,SR,UnsatHC,field moist,5,1.5559016877887761,0.4606933368674698,0.2060283236033745,0.5720263306006962,1.56 ± 0.21   a,a
1.5 kPa,SR,UnsatHC,saturation,4,4.0562034772910085,1.6952276983291743,0.8476138491645872,2.6974855625811425,4.06 ± 0.85   a,a
1.5 kPa,SR,UnsatHC,time zero saturation,4,2.89796628586336,1.6158599841041235,0.8079299920520617,2.5711938181339793,2.9 ± 0.81   a,a
50 kPa,CPCRW,AminoSugar,drought,5,4.345779569400009,1.478975054929656,0.6614177519698392,1.8363900799475883,4.35 ± 0.66   a,a
50 kPa,CPCRW,AminoSugar,field moist,3,0.2041365847814962,0.008305272992303717,0.00479505159779988,0.02063144184656317,0.2 ± 0   b,b
50 kPa,CPCRW,AminoSugar,saturation,4,0.5280322084791507,0.1128004748480143,0.05640023742400715,0.17949072720715545,0.53 ± 0.06   b,b
50 kPa,CPCRW,AminoSugar,time zero saturation,5,0.3691283652015423,0.05406830984334877,0.02418008324764977,0.06713467377621236,0.37 ± 0.02   b,b
50 kPa,CPCRW,Carb,drought,5,10.91118893377541,4.858622971656936,2.1728422483333882,6.032777224752204,10.91 ± 2.17   a,a
50 kPa,CPCRW,Carb,field moist,3,0.31404092633938485,0.02097093634209014,0.012107575742264249,0.05209469381810164,0.31 ± 0.01   b,b
50 kPa,CPCRW,Carb,saturation,4,0.8982477750959648,0.4909805376331761,0.24549026881658806,0.7812595989784549,0.9 ± 0.25   b,b
50 kPa,CPCRW,Carb,time zero saturation,5,0.4168636792781839,0.1224375791544148,0.05475574999795654,0.15202633406326052,0.42 ± 0.05   b,b
50 kPa,CPCRW,ConHC,drought,5,1.3736438594114193,0.760310025651635,0.34002098026633293,0.9440495863250156,1.37 ± 0.34   b,b
50 kPa,CPCRW,ConHC,field moist,3,2.582762538298125,0.8795881783875691,0.5078304715680756,2.185018164742337,2.58 ± 0.51   ab,ab
50 kPa,CPCRW,ConHC,saturation,4,2.503245039696252,0.8976884679627107,0.44884423398135537,1.4284226740818604,2.5 ± 0.45   ab,ab
50 kPa,CPCRW,ConHC,time zero saturation,5,4.143689524198792,2.323909357041622,1.0392838591785794,2.8855145837274394,4.14 ± 1.04   a,a
50 kPa,CPCRW,Lignin,drought,5,56.09200404320608,6.444124895441119,2.881900264341013,8.001437882597832,56.09 ± 2.88   c,c
50 kPa,CPCRW,Lignin,field moist,3,82.96109188265343,2.6877876923678263,1.5517949477131276,6.6768347677893125,82.96 ± 1.55   a,a
50 kPa,CPCRW,Lignin,saturation,4,69.88854143919363,2.9187739315476224,1.4593869657738112,4.644420657206067,69.89 ± 1.46   b,b
50 kPa,CPCRW,Lignin,time zero saturation,5,75.73255309690973,5.425100578975694,2.4261787358726234,6.736152075548516,75.73 ± 2.43   ab,ab
50 kPa,CPCRW,Lipid,drought,5,7.067890452935319,2.4409597784025285,1.0916303989701752,3.0308518779058575,7.07 ± 1.09   a,a
50 kPa,CPCRW,Lipid,field moist,3,5.522988328759219,3.7778786108879108,2.181159232961865,9.38477072772161,5.52 ± 2.18   a,a
50 kPa,CPCRW,Lipid,saturation,4,9.61079614863269,2.976166141394209,1.4880830706971044,4.735744470295234,9.61 ± 1.49   a,a
50 kPa,CPCRW,Lipid,time zero saturation,5,8.658894785853146,3.940019674840707,1.7620303651260876,4.892180582464206,8.66 ± 1.76   a,a
50 kPa,CPCRW,Other,drought,5,0.625470727180602,0.38237369365235063,0.17100271436286715,0.4747796492683189,0.63 ± 0.17   a,a
50 kPa,CPCRW,Other,field moist,3,0.1587932979267964,0.026612337856636255,0.01536464042529421,0.06610871206751107,0.16 ± 0.02   b,b
50 kPa,CPCRW,Other,saturation,4,0.0446502160789917,0.009536571666796858,0.004768285833398429,0.015174813633035475,0.04 ± 0   b,b
50 kPa,CPCRW,Other,time zero saturation,5,0.13391072148687264,0.07986511564601757,0.03571676552307546,0.09916563881004017,0.13 ± 0.04   b,b
50 kPa,CPCRW,Protein,drought,5,16.11327420747434,3.8825117418391355,1.736312035638684,4.8207750524450415,16.11 ± 1.74   a,a
50 kPa,CPCRW,Protein,field moist,3,3.970004308963257,0.13620948911211822,0.07864058520506285,0.33836312860165885,3.97 ± 0.08   b,b
50 kPa,CPCRW,Protein,saturation,4,12.797385599992644,1.4152464892512318,0.7076232446256159,2.2519729803916606,12.8 ± 0.71   a,a
50 kPa,CPCRW,Protein,time zero saturation,5,6.997988700123816,1.7863906448492355,0.798898183250515,2.2180969504373023,7 ± 0.8   b,b
50 kPa,CPCRW,Tannin,drought,5,3.3681400863555746,1.0273199331301444,0.4594314410239082,1.2755861756047986,3.37 ± 0.46   a,a
50 kPa,CPCRW,Tannin,field moist,3,3.930608121990904,1.6000949591492737,0.9238152553937965,3.9748562304043147,3.93 ± 0.92   a,a
50 kPa,CPCRW,Tannin,saturation,4,3.1416739487710323,1.2081525169361467,0.6040762584680733,1.9224402568713261,3.14 ± 0.6   a,a
50 kPa,CPCRW,Tannin,time zero saturation,5,2.882052511778171,0.9654572485060693,0.43176560740589565,1.198773507274851,2.88 ± 0.43   a,a
50 kPa,CPCRW,UnsatHC,drought,5,0.10260812026124658,0.06715621813728292,0.030033173773353784,0.08338545831658285,0.1 ± 0.03   a,a
50 kPa,CPCRW,UnsatHC,field moist,3,0.3555740102873891,0.06665737183673286,0.038484651573410696,0.16558609114579245,0.36 ± 0.04   a,a
50 kPa,CPCRW,UnsatHC,saturation,4,0.5874276240596471,0.8705020263316253,0.43525101316581266,1.3851629787205308,0.59 ± 0.44   a,a
50 kPa,CPCRW,UnsatHC,time zero saturation,5,0.6649186151697518,0.7200194914905494,0.32200250561953997,0.8940222805887967,0.66 ± 0.32   a,a
50 kPa,DWP,AminoSugar,drought,4,1.381873527865675,0.7696772598359337,0.38483862991796686,1.2247282759128777,1.38 ± 0.38   b,b
50 kPa,DWP,AminoSugar,field moist,3,0.7850167346308234,0.1234902152279378,0.07129710900413472,0.3067667006798852,0.79 ± 0.07   b,b
50 kPa,DWP,AminoSugar,saturation,5,0.6089577692438826,0.2721901149969651,0.12172711998733979,0.337968666458674,0.61 ± 0.12   b,b
50 kPa,DWP,AminoSugar,time zero saturation,4,8.788309191054335,2.9786141058537203,1.4893070529268602,4.7396397280200535,8.79 ± 1.49   a,a
50 kPa,DWP,Carb,drought,4,4.057524198006376,2.209022073228528,1.104511036614264,3.5150470676181427,4.06 ± 1.1   b,b
50 kPa,DWP,Carb,field moist,3,0.3318409281058194,0.018076093136309753,0.010436237238145183,0.04490350464101836,0.33 ± 0.01   b,b
50 kPa,DWP,Carb,saturation,5,0.8616280480301877,0.3418984125390762,0.15290161836732816,0.42452294989278927,0.86 ± 0.15   b,b
50 kPa,DWP,Carb,time zero saturation,4,9.912296694513524,2.6272540335306975,1.3136270167653488,4.180547446025743,9.91 ± 1.31   a,a
50 kPa,DWP,ConHC,drought,4,2.3458479008009503,0.667098883989309,0.3335494419946545,1.0615031893053306,2.35 ± 0.33   a,a
50 kPa,DWP,ConHC,field moist,3,3.66386797378132,1.4710048367946573,0.8492850385026369,3.6541785892487475,3.66 ± 0.85   a,a
50 kPa,DWP,ConHC,saturation,5,4.962318098792339,2.471124842592307,1.1051206257849733,3.0683067521138114,4.96 ± 1.11   a,a
50 kPa,DWP,ConHC,time zero saturation,4,2.4692372135452323,0.5249237747188624,0.2624618873594312,0.8352708637048105,2.47 ± 0.26   a,a
50 kPa,DWP,Lignin,drought,4,55.555751868139396,5.091682420962322,2.545841210481161,8.102002954134774,55.56 ± 2.55   ab,ab
50 kPa,DWP,Lignin,field moist,3,71.0229243061425,3.5983066121846448,2.0774832911716152,8.938689153768447,71.02 ± 2.08   a,a
50 kPa,DWP,Lignin,saturation,5,58.90047360260742,20.30480874409721,9.080586524386698,25.21175000795849,58.9 ± 9.08   a,a
50 kPa,DWP,Lignin,time zero saturation,4,33.192232328639015,6.722663939518538,3.361331969759269,10.697258507992395,33.19 ± 3.36   b,b
50 kPa,DWP,Lipid,drought,4,11.533670458701948,2.884359911777881,1.4421799558889405,4.58966027217298,11.53 ± 1.44   a,a
50 kPa,DWP,Lipid,field moist,3,9.357468686441592,1.883100957588017,1.0872088447746837,4.677882103777552,9.36 ± 1.09   a,a
50 kPa,DWP,Lipid,saturation,5,18.87772478438418,23.357671780135533,10.445868379302315,29.00238013125432,18.88 ± 10.45   a,a
50 kPa,DWP,Lipid,time zero saturation,4,7.73863068278539,5.624591259080516,2.812295629540258,8.949979835595913,7.74 ± 2.81   a,a
50 kPa,DWP,Other,drought,4,0.5835876991256239,0.16135878588341038,0.08067939294170519,0.2567578359798621,0.58 ± 0.08   a,a
50 kPa,DWP,Other,field moist,3,0.10980996483637298,0.030224517425065316,0.017450133271487995,0.07508186355505973,0.11 ± 0.02   b,b
50 kPa,DWP,Other,saturation,5,0.1081485815029876,0.060355856473028935,0.02699195958278268,0.07494169406331365,0.11 ± 0.03   b,b
50 kPa,DWP,Other,time zero saturation,4,0.5945794907624375,0.12372863899240978,0.06186431949620489,0.1968798750095881,0.59 ± 0.06   a,a
50 kPa,DWP,Protein,drought,4,22.262978567431873,4.007787204748459,2.0038936023742293,6.3772837910575255,22.26 ± 2   a,a
50 kPa,DWP,Protein,field moist,3,10.700613212491456,2.661082110913772,1.536376473071764,6.610494425785076,10.7 ± 1.54   b,b
50 kPa,DWP,Protein,saturation,5,10.54580779704076,3.0098139972093896,1.3460297394781113,3.7371776816246634,10.55 ± 1.35   b,b
50 kPa,DWP,Protein,time zero saturation,4,30.921512141236846,6.301372675122323,3.1506863375611616,10.026890094079375,30.92 ± 3.15   a,a
50 kPa,DWP,Tannin,drought,4,1.5205857200176147,0.42616760692071587,0.21308380346035793,0.6781277630382159,1.52 ± 0.21   b,b
50 kPa,DWP,Tannin,field moist,3,3.1566646333643407,0.7905404653954664,0.4564187505013646,1.963811382753535,3.16 ± 0.46   ab,ab
