SampleID,Site,Treatment,HeadSpace_Ht_cm,soil_pH_water_airdried,DryMass_SoilOnly_g,DryMass_NONsoil_ALL_g,VolumeSoil_cm3,rownum,TREATMENT_PHASE,sequence_valve,Picarro_start,Picarro_stop,Total_core_mass_pot_pie_pans_g,Additional_Wt_toRemove,picarro_records
C20,CPCRW,field_moist,0,4.96,278.9,150.95,302.5,256,FIELD_MOIST_INCUBATION,1,2016-10-18T17:03:00Z,2016-10-18T23:05:00Z,520.91,NA,54
C11,CPCRW,sat_II,3,NA,150.55,249.76,206.69,257,SATURATION_INCUBATION,15,2016-10-18T17:03:00Z,2016-10-18T23:05:00Z,580.34,NA,54
C12,CPCRW,sat_II,3,NA,232.06,137.83,171.69,258,SATURATION_INCUBATION,6,2016-10-18T17:03:00Z,2016-10-18T23:05:00Z,509.98,NA,54
C13,CPCRW,sat_II,1,NA,138.96,296.76,186.9,259,SATURATION_INCUBATION,13,2016-10-18T17:03:00Z,2016-10-18T23:05:00Z,582.83,NA,54
C14,CPCRW,sat_II,1.5,NA,233.1,151.38,235.09,260,SATURATION_INCUBATION,8,2016-10-18T17:03:00Z,2016-10-18T23:05:00Z,569.8,NA,54
C15,CPCRW,sat_II,5,4.77,156.34,112.97,94.48,261,SATURATION_INCUBATION,7,2016-10-18T17:03:00Z,2016-10-18T23:05:00Z,477.32,NA,54
C21,CPCRW,drought,0.5,5.09,225.9,261.43,243.7,262,DROUGHT_PRE_INCUBATION,12,2016-10-18T17:03:00Z,2016-10-18T23:05:00Z,538.38,NA,54
C22,CPCRW,drought,0.5,5.1,216.87,140.41,289.7,263,DROUGHT_PRE_INCUBATION,10,2016-10-18T17:03:00Z,2016-10-18T23:05:00Z,405.49,NA,54
C23,CPCRW,drought,0.5,5.67,214.95,116.61,300.7,264,DROUGHT_PRE_INCUBATION,9,2016-10-18T17:03:00Z,2016-10-18T23:05:00Z,348.82,NA,54
C24,CPCRW,drought,0.5,5.05,198.71,125.4,289.7,265,DROUGHT_PRE_INCUBATION,14,2016-10-18T17:03:00Z,2016-10-18T23:05:00Z,368.14,NA,54
C25,CPCRW,drought,0.5,4.7,232.3,114.34,299.7,266,DROUGHT_PRE_INCUBATION,11,2016-10-18T17:03:00Z,2016-10-18T23:05:00Z,359.94,NA,54
C16,CPCRW,field_moist,0,4.89,213.67,124.03,318.5,268,FIELD_MOIST_INCUBATION,15,2016-10-20T17:37:00Z,2016-10-20T23:05:00Z,416.21,NA,68
C17,CPCRW,field_moist,3,4.99,209.99,129.62,174.69,269,FIELD_MOIST_INCUBATION,9,2016-10-20T17:37:00Z,2016-10-20T23:05:00Z,403.85,NA,68
C18,CPCRW,field_moist,0,4.9,168.51,143.44,312.5,270,FIELD_MOIST_INCUBATION,13,2016-10-20T17:37:00Z,2016-10-20T23:05:00Z,390.26,NA,68
C19,CPCRW,field_moist,0,5.22,320.73,109.36,327.5,271,FIELD_MOIST_INCUBATION,14,2016-10-20T17:37:00Z,2016-10-20T23:05:00Z,532.99,NA,68
C20,CPCRW,field_moist,0,4.96,278.9,150.95,302.5,272,FIELD_MOIST_INCUBATION,12,2016-10-20T17:37:00Z,2016-10-20T23:05:00Z,522.23,NA,68
C11,CPCRW,sat_II,3,NA,150.55,249.76,206.69,273,SATURATION_INCUBATION,6,2016-10-20T17:37:00Z,2016-10-20T23:05:00Z,547.92,NA,68
C12,CPCRW,sat_II,3,NA,232.06,137.83,171.69,274,SATURATION_INCUBATION,2,2016-10-20T17:37:00Z,2016-10-20T23:05:00Z,521.67,NA,68
C13,CPCRW,sat_II,1,NA,138.96,296.76,186.9,275,SATURATION_INCUBATION,7,2016-10-20T17:37:00Z,2016-10-20T23:05:00Z,588.08,NA,68
C14,CPCRW,sat_II,1.5,NA,233.1,151.38,235.09,276,SATURATION_INCUBATION,10,2016-10-20T17:37:00Z,2016-10-20T23:05:00Z,568.04,NA,68
C15,CPCRW,sat_II,5,4.77,156.34,112.97,94.48,277,SATURATION_INCUBATION,11,2016-10-20T17:37:00Z,2016-10-20T23:05:00Z,461.1,NA,68
C21,CPCRW,drought,0.5,5.09,225.9,261.43,243.7,278,DROUGHT_PRE_INCUBATION,8,2016-10-20T17:37:00Z,2016-10-20T23:05:00Z,530.29,NA,68
C22,CPCRW,drought,0.5,5.1,216.87,140.41,289.7,279,DROUGHT_PRE_INCUBATION,5,2016-10-20T17:37:00Z,2016-10-20T23:05:00Z,397.1,NA,68
C23,CPCRW,drought,0.5,5.67,214.95,116.61,300.7,280,DROUGHT_PRE_INCUBATION,4,2016-10-20T17:37:00Z,2016-10-20T23:05:00Z,344.15,NA,68
C24,CPCRW,drought,0.5,5.05,198.71,125.4,289.7,281,DROUGHT_PRE_INCUBATION,1,2016-10-20T17:37:00Z,2016-10-20T23:05:00Z,361.62,NA,68
C25,CPCRW,drought,0.5,4.7,232.3,114.34,299.7,282,DROUGHT_PRE_INCUBATION,3,2016-10-20T17:37:00Z,2016-10-20T23:05:00Z,355.2,NA,68
C16,CPCRW,field_moist,0,4.89,213.67,124.03,318.5,284,FIELD_MOIST_INCUBATION,5,2016-10-25T18:12:00Z,2016-10-26T01:05:00Z,422.51,NA,56
C17,CPCRW,field_moist,3,4.99,209.99,129.62,174.69,285,FIELD_MOIST_INCUBATION,6,2016-10-25T18:12:00Z,2016-10-26T01:05:00Z,418.03,NA,56
C18,CPCRW,field_moist,0,4.9,168.51,143.44,312.5,286,FIELD_MOIST_INCUBATION,13,2016-10-25T18:12:00Z,2016-10-26T01:05:00Z,390.15,NA,56
C19,CPCRW,field_moist,0,5.22,320.73,109.36,327.5,287,FIELD_MOIST_INCUBATION,11,2016-10-25T18:12:00Z,2016-10-26T01:05:00Z,532.98,NA,56
C20,CPCRW,field_moist,0,4.96,278.9,150.95,302.5,288,FIELD_MOIST_INCUBATION,10,2016-10-25T18:12:00Z,2016-10-26T01:05:00Z,521.3,NA,56
C11,CPCRW,sat_II,3,NA,150.55,249.76,206.69,289,SATURATION_INCUBATION,8,2016-10-25T18:12:00Z,2016-10-26T01:05:00Z,550.49,NA,56
C12,CPCRW,sat_II,3,NA,232.06,137.83,171.69,290,SATURATION_INCUBATION,7,2016-10-25T18:12:00Z,2016-10-26T01:05:00Z,530.62,NA,56
C13,CPCRW,sat_II,1,NA,138.96,296.76,186.9,291,SATURATION_INCUBATION,12,2016-10-25T18:12:00Z,2016-10-26T01:05:00Z,585.54,NA,56
C14,CPCRW,sat_II,1.5,NA,233.1,151.38,235.09,292,SATURATION_INCUBATION,4,2016-10-25T18:12:00Z,2016-10-26T01:05:00Z,585.79,NA,56
C15,CPCRW,sat_II,5,4.77,156.34,112.97,94.48,293,SATURATION_INCUBATION,1,2016-10-25T18:12:00Z,2016-10-26T01:05:00Z,458.48,NA,56
C21,CPCRW,drought,0.5,5.09,225.9,261.43,243.7,294,DROUGHT_PRE_INCUBATION,3,2016-10-25T18:12:00Z,2016-10-26T01:05:00Z,516.69,NA,56
C22,CPCRW,drought,0.5,5.1,216.87,140.41,289.7,295,DROUGHT_PRE_INCUBATION,2,2016-10-25T18:12:00Z,2016-10-26T01:05:00Z,384.9,NA,56
