Site,Core,Treatment,SampleID,tin,tin+wet_weight,tin+dry_weight,Soil_θgrav,core.headspace_cm,SoilHeight_cm,CoreVolume(incl.Rocks.Roots),Empty_CylinderVol_ml,CylinderVol_incl.rocks,Volume_Roots.Rocks_cm3,VolumeSoil_cm3,Soil_θvol,Bdsoil (g cm-3),Porosity (%),EMPTY_litter_weighboat,WET_litter_weighboat,WET_litter_weight_g,Total_non_soil_wet_g,DRY_litter_weighboat,NonSoil_θgrav,NonSoil_dry_wt. Equiv._g,CoreMassCore_mass_w_liner_w_caps_prior_to_processing_g,Core_empty_liner_plus_end_caps_g,WeightSoilCore_withoutLinerCapsEtc,WetWeightSoilOnly,DryWeightSoilONLY
DWP,9,Sat_I,D9,1.05,11.22,8.86,0.302,2.5,5.12,233.4908064,250,251,1,232.4908064,0.361221714,1.2,44.94,9.9,16.9,7,62.5,13.7,0.84,3.8,424.4,55.5,368.9,361.9,277.92
DWP,10,Sat_I,D10,1.05,10.66,9.58,0.127,0,7.62,347.4999892,250,275,25,322.4999892,0.157893672,1.25,46.88,8.9,44.5,35.6,87.9,29.5,0.73,20.6,541,52.3,488.7,453.1,402.18
DWP,11,Sat_II,D11,1.07,10.44,9.69,0.087,0,7.62,347.4999892,250,262,12,335.4999892,0.112226773,1.29,48.49,6.5,24,17.5,73.3,18.8,0.42,12.3,543.7,55.8,487.9,470.4,432.75
DWP,12,Sat_II,D12,1.07,11.14,10.03,0.124,0,7.62,347.4999892,250,266,16,331.4999892,0.146738447,1.18,44.53,6.5,47.1,40.6,95.8,37,0.33,30.5,537.1,55.2,481.9,441.3,392.66
DWP,13,Sat_II,D13,1.07,11.4,10.36,0.112,1,6.62,301.896316,250,254,4,297.896316,0.132312127,1.18,44.43,6.4,18.3,11.9,65.5,15,0.38,8.6,457,53.6,403.4,391.5,352.08
DWP,14,Sat_II,D14,1.08,11.56,10.66,0.094,0.5,7.12,324.6981526,250,256,6,318.6981526,0.10695049,1.14,42.8,6.5,17.7,11.2,66.5,13.2,0.67,6.7,463.4,55.3,408.1,396.9,362.82
DWP,15,Sat_II,D15,1.08,11.63,10.26,0.15,0.5,7.12,324.6981526,250,259,9,315.6981526,0.140777282,0.94,35.31,6.5,26.8,20.3,75.6,19.4,0.57,12.9,416.6,55.3,361.3,341,296.56
DWP,16,Field_Moist,D16,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,,NA,,NA,NA,NA,NA,NA,,,NA,NA,NA,NA,NA
DWP,17,Field_Moist,D17,1.07,12.86,11.86,0.093,1,6.62,301.896316,250,260,10,291.896316,0.101044396,1.09,40.99,6.5,18.7,12.2,76.6,13.9,0.65,7.4,424.34,64.4,359.94,347.74,318.25
DWP,18,Field_Moist,D18,1.08,6.38,6.01,0.075,0,7.62,347.4999892,250,261,11,336.4999892,0.102995041,1.37,51.59,6.4,19.3,12.9,77.6,14.8,0.54,8.4,574.05,64.7,509.35,496.45,461.79
DWP,19,Field_Moist,D19,1.05,10.8,9.9,0.102,0,7.62,347.4999892,250,258,8,339.4999892,0.137186364,1.35,50.71,6.5,24.7,18.2,82.4,19.1,0.44,12.6,586.96,64.2,522.76,504.56,457.99
DWP,20,Field_Moist,D20,1.06,13.43,12.55,0.077,0,7.62,347.4999892,250,260,10,337.4999892,0.087844549,1.15,43.12,6.5,18.9,12.4,77.3,15.5,0.38,9,494.05,64.9,429.15,416.75,387.1
DWP,21,Drought,D21,1.055,10.85,10.14,0.078,0,7.62,347.4999892,250,266,16,331.4999892,0.101720877,1.3,48.93,6,29.1,23.1,85.9,24.9,0.22,18.9,551.1,62.8,488.3,465.2,431.48
DWP,22,Drought,D22,1.07,10.43,9.78,0.075,0,7.62,347.4999892,250,265,15,332.4999892,0.094532167,1.27,47.62,6,23.5,17.5,79.2,19.7,0.28,13.7,531.82,61.7,470.12,452.62,421.19
DWP,23,Drought,D23,1.04,10.71,10,0.079,0,7.62,347.4999892,250,253,3,344.4999892,0.093120347,1.18,44.18,6,17.1,11.1,72.6,14.8,0.26,8.8,509.52,61.5,448.02,436.92,404.84
DWP,24,Drought,D24,1.07,10.54,9.89,0.074,0,7.62,347.4999892,250,257,7,340.4999892,0.066460748,0.9,33.9,6,17.4,11.4,76,13.8,0.46,7.8,405.7,64.6,341.1,329.7,307.07
DWP,25,Drought,D25,1.06,10.86,10.15,0.078,0,7.62,347.4999892,250,270,20,327.4999892,0.078886434,1.01,37.97,5.9,27,21.1,85.7,20.5,0.45,14.6,442.3,64.6,377.7,356.6,330.76
SR,9,Sat_I,S9,1.07,10.3,4.62,1.6,0,7.62,347.4999892,250,255,5,342.4999892,0.651175765,0.41,15.3,5.79,14.95,9.16,61.02,8.9,1.95,3.11,423.44,51.86,371.58,362.42,139.39
SR,11,Sat_I,S11,1.06,10.76,4.88,1.539,0,7.62,347.4999892,250,251,1,346.4999892,0.564915981,0.37,13.8,5.74,8.41,2.67,54.72,7,1.12,1.26,377.63,52.05,325.58,322.91,127.17
SR,16,Sat_I,S16,1.09,9.78,4.22,1.776,0,7.62,347.4999892,250,251,1,346.4999892,0.420838216,0.24,8.91,5.73,11.6,5.87,53.48,8.1,1.48,2.37,281.39,47.61,233.78,227.91,82.09
SR,17,Sat_I,S17,1.05,11.45,4.97,1.653,0,7.62,347.4999892,250,254,4,343.4999892,0.537641938,0.33,12.23,5.85,23.83,17.98,70.1,12.5,1.7,6.65,366.5,52.12,314.38,296.4,111.72
SR,23,Sat_I,S23,1.08,11.62,4.9,1.759,0,7.62,347.4999892,250,253,3,344.4999892,0.638533549,0.36,13.65,5.82,9.58,3.76,55.79,7.3,1.54,1.48,400.81,52.03,348.78,345.02,125.05
SR,2,Sat_II,S2,1.04,11.15,4.68,1.777,0.5,7.12,324.6981526,250,251,1,323.6981526,0.665685227,0.37,14.08,5.81,12.8,6.99,58.81,8.2,1.92,2.39,395.52,51.82,343.7,336.71,121.23
SR,3,Sat_II,S3,1.08,11.23,4.82,1.714,0,7.62,347.4999892,250,254,4,343.4999892,0.624540787,0.36,13.7,5.83,10.06,4.23,51.79,7.2,2.09,1.37,391.49,47.56,343.93,339.7,125.17
SR,7,Sat_II,S7,1.07,10.44,4.47,1.76,0,7.62,347.4999892,250,253,3,344.4999892,0.64648426,0.37,13.81,5.84,12,6.16,53.57,7.8,2.14,1.96,402.83,47.41,355.42,349.26,126.55
SR,18,Sat_II,S18,1.06,9.88,4.48,1.579,2,5.62,256.2926429,105,106,1,255.2926429,0.741190212,0.47,17.65,5.75,8.94,3.19,55.87,6.8,2.04,1.05,364.93,52.68,312.25,309.06,119.84
SR,24,Sat_II,S24,1.08,11.71,5.01,1.705,1,6.62,301.896316,250,251,1,300.896316,0.721880226,0.42,15.92,5.84,6.54,0.7,52.76,6.2,0.94,0.36,397.38,52.06,345.32,344.62,127.41
SR,1,Field_Moist,S1,1.08,10.33,4.49,1.713,1,6.62,301.896316,250,257,7,294.896316,0.647544643,0.38,14.21,5.71,35.54,29.83,77.2,14.9,2.25,9.19,379.66,47.37,332.29,302.46,111.5
SR,13,Field_Moist,S13,1.055,15.49,5.79,2.049,0,7.62,347.4999892,250,0,0,347.4999892,0.669812053,0.33,12.29,0,0,0,52.59,0,0,0,398.97,52.59,346.38,346.38,113.62
SR,15,Field_Moist,S15,1.05,10.4,4.36,1.825,0,7.62,347.4999892,250,254,4,343.4999892,0.683112555,0.37,14.07,5.82,8.1,2.28,54.15,6.7,1.59,0.88,417.39,51.87,365.52,363.24,128.59
SR,19,Field_Moist,S19,1.065,10.61,4.43,1.837,0,7.62,347.4999892,250,252,2,345.4999892,0.572481561,0.31,11.72,5.72,9.31,3.59,55.98,7,1.8,1.28,361.47,52.39,309.08,305.49,107.7
SR,21,Field_Moist,S21,1.07,10.98,4.37,2.003,0,7.62,347.4999892,250,254,4,343.4999892,0.563001059,0.28,10.57,5.83,11.18,5.35,56.43,7.4,2.41,1.57,346.37,51.08,295.29,289.94,96.55
SR,4,Drought,S4,1.08,11.15,6.7,0.792,0.5,7.12,324.6981526,250,252,2,322.6981526,0.3780809,0.48,17.95,10.57,22.73,12.16,12.16,11.4,13.71,0.83,288.25,,288.25,276.09,154.08
SR,5,Drought,S5,1.08,10.22,5.56,1.04,1,6.62,301.896316,250,250,0,301.896316,0.443685303,0.43,16.04,10.57,21.53,10.96,10.96,10.8,47.35,0.23,273.68,,273.68,262.72,128.77
SR,10,Drought,S10,1.07,10.38,6.45,0.73,1,6.62,301.896316,250,253,3,298.896316,0.288529799,0.39,14.85,10.57,26.67,16.1,16.1,13.8,3.99,3.23,220.4,,220.4,204.3,118.06
SR,14,Drought,S14,1.07,11.21,6.99,0.713,0,7.62,347.4999892,250,251,1,346.4999892,0.309385724,0.43,16.32,10.57,22.39,11.82,11.82,11.5,11.76,0.93,269.41,,269.41,257.59,150.39
SR,25,Drought,S25,1.065,10.9,6.4,0.843,0,7.62,347.4999892,250,255,5,342.4999892,0.359934552,0.43,16.04,10.57,28.08,17.51,17.51,14.3,3.7,3.73,286.94,,286.94,269.43,146.15
